Strain	Short-name	Species	C	Grp_Leducq1	Grp_Alessa	Group_Leducq2	Biome	Annotation	SVDq	Astral	GeneContent	Synteny	Long-Name
UNC378MF	st188	Meth_sp	187	A9	-	A	Plant	6666666.673202.txt	25	57	144	113	M._sp._UNC378MF
P1-11	st169	Meth_sp	168	A9	-	A	Rhizhosphere	6666666.688628.txt	24	58	143	100	M._sp._P1-11
CBMB27_(DSM19779T)	st37	Meth_phyllosphaerae	36	A9	A4	A	Phyllosphere	6666666.673218.txt	21	59	123	103	M._phyllosphaerae_CBMB27_(DSM19779T)
DSM5686	st57	Meth_fujisawaense	56	A9	A4	A	Unknown	6666666.688707.txt	20	60	127	104	M._fujisawaense_DSM5686
UNCCL125	st190	Meth_sp	189	A9	-	A	Plant	6666666.673228.txt	19	61	126	112	M._sp._UNCCL125
UNCCL110	st189	Meth_sp	188	A9	-	A	Plant	6666666.688634.txt	18	62	125	102	M._sp._UNCCL110
CBMB20_(DSM18207T)	st36	Meth_oryzae	35	A9	A4	A	Phyllosphere	6666666.673028.txt	23	63	124	105	M._oryzae_CBMB20_(DSM18207T)
XJLW	st206	Meth_sp	205	A9	-	A	Anthropo/Water	6666666.673120.txt	22	64	120	106	M._sp._XJLW
YL-MPn5-2016	st210	Meth_sp	209	A9	-	A	Water	6666666.673200.txt	16	65	121	114	M._sp._YL-MPn5-2016
YL-MPn6-2016	st211	Meth_sp	210	A9	-	A	Water	6666666.673198.txt	17	66	122	110	M._sp._YL-MPn6-2016
RE1.2	st179	Meth_radiotolerans	178	A9	-	A	Seed	6666666.673092.txt	9	67	128	115	M._radiotolerans_RE1.2
C1	st34	Meth_sp	33	A9	-	A	Anthropo/Water	6666666.673088.txt	10	68	129	96	M._sp._C1
ES_PA-B5	st68	Meth_radiotolerans	67	A9	-	A	Rhizhosphere	6666666.673126.txt	13	69	130	111	M._radiotolerans_ES_PA-B5
ME94	st150	Meth_radiotolerans	149	A9	-	A	Endophyte	6666666.688706.txt	11	70	134	117	M._radiotolerans_ME94
DSM760	st59	Meth_sp	58	A9	-	A	Water	6666666.673104.txt	12	71	131	120	M._sp._DSM760
NBRC15690	st161	Meth_radiotolerans	160	-	-	A	Unknown	6666666.673140.txt	14	72	133	108	M._radiotolerans_NBRC15690
JCM2831_(IAM12098T)	st91	Meth_radiotolerans	90	-	A4	A	Unknown	6666666.673021.txt	15	73	132	119	M._radiotolerans_JCM2831_(IAM12098T)
Leaf361	st106	Meth_sp	105	A9	-	A	Phyllosphere	6666666.673057.txt	8	74	135	101	M._sp._Leaf361
yr668	st213	Meth_sp	212	A9	-	A	Rhizhosphere	6666666.673226.txt	3	75	136	118	M._sp._yr668
190mf	st12	Meth_sp	11	A9	-	A	Plant	6666666.673206.txt	1	76	140	98	M._sp._190mf
285MFTsu5.1	st14	Meth_sp	13	A9	-	A	Plant	6666666.688630.txt	2	77	139	99	M._sp._285MFTsu5.1
UNC300MFChir4.1	st187	Meth_sp	186	A9	-	A	Plant	6666666.673210.txt	4	78	142	97	M._sp._UNC300MFChir4.1
275MFSha3.1	st13	Meth_sp	12	A9	-	A	Plant	6666666.673208.txt	5	79	137	107	M._sp._275MFSha3.1
13MFTsu3.1M2	st3	Meth_sp	2	A9	-	A	Plant	6666666.673214.txt	7	80	141	116	M._sp._13MFTsu3.1M2
BK227	st28	Meth_sp	27	A9	-	A	Endophyte	6666666.673128.txt	6	81	138	109	M._sp._BK227
NBRC107716_(DSM24027)	st160	Meth_gnaphalii	159	A4	B2	B	Phyllosphere	6666666.673145.txt	85	82	88	37	M._gnaphalii_NBRC107716_(DSM24027)
DSM24105	st55	Meth_brachythecii	54	A4	B2	B	Phyllosphere	6666666.688715.txt	86	83	89	36	M._brachythecii_DSM24105
NBRC107714_(NBRC107714)	st158	Meth_haplocladii	157	A4	B2	B	Phyllosphere	6666666.673141.txt	84	84	85	40	M._haplocladii_NBRC107714_(NBRC107714)
DSM23674	st146	Meth_thuringiense	145	-	B2	B	Phyllosphere	6666666.879415.txt	82	85	86	38	M._thuringiense_DSM23674
WL9	st203	Meth_sp	202	A4	-	B	Phyllosphere	6666666.673172.txt	83	86	87	39	M._sp._WL9
NBRC15689T	st142	Meth_organophilum	141	-	B2	B	Lake/Sediments	6666666.879411.txt	87	87	84	41	M._organophilum_NBRC15689T
L1A1	st94	Meth_sp	93	B	-	B	Water	6666666.673136.txt	92	88	80	3	M._sp._L1A1
DSM14458T	st155	Meth_suomiense	154	-	B	B	Soil	6666666.879421.txt	91	89	79	2	M._suomiense_DSM14458T
CGMCC1.6474_(NCCB100140T)	st41	Meth_salsuginis	40	B	B	B	Ocean	6666666.688663.txt	88	90	82	5	M._salsuginis_CGMCC1.6474_(NCCB100140T)
Leaf456	st108	Meth_sp	107	B	-	B	Phyllosphere	6666666.673064.txt	90	91	81	4	M._sp._Leaf456
DSM2163	st54	Meth_rhodinum	53	B	B	B	Soil	6666666.688716.txt	89	92	83	1	M._rhodinum_DSM2163
DSM5688T_(LMG6087T)	st156	Meth_zatmanii	155	-	B	B	Anthropo/Food	6666666.879422.txt	93	93	78	7	M._zatmanii_DSM5688T_(LMG6087T)
B4	st26	Meth_sp	25	B	-	B	Anthropo/Water	6666666.673116.txt	94	94	77	6	M._sp._B4
J-043	st78	Meth_sp	77	B	-	B	Phyllosphere	6666666.688750.txt	108	95	65	9	M._sp._J-043
Leaf123	st104	Meth_sp	103	B	-	B	Phyllosphere	6666666.673055.txt	107	96	64	16	M._sp._Leaf123
Q1	st176	Meth_sp	175	B	-	B	Endophyte	6666666.688658.txt	105	97	67	19	M._sp._Q1
AMS5	st21	Meth_sp	20	B	-	B	Phyllosphere	6666666.673078.txt	106	98	66	26	M._sp._AMS5
DM4_(DSM6343)	st49	Meth_dichloromethanicum	48	B	B	B	Anthropo/Water	6666666.688638.txt	97	99	58	17	M._dichloromethanicum_DM4_(DSM6343)
PA1	st170	Meth_extorquens	169	B	-	B	Phyllosphere	6666666.688660.txt	101	100	60	18	M._extorquens_PA1
AM1_(ATCC14718)	st20	Meth_extorquens	19	B	B	B	Anthropo	6666666.688625.txt	102	101	57	24	M._extorquens_AM1_(ATCC14718)
CM4_(NCIMB13688)	st44	Meth_chloromethanicum	43	B	B	B	Anthropo/Soil	6666666.688637.txt	100	102	55	25	M._chloromethanicum_CM4_(NCIMB13688)
PSBB040	st174	Meth_extorquens	173	B	-	B	Water	6666666.688653.txt	98	103	61	23	M._extorquens_PSBB040
RAS18	st178	Meth_sp	177	B	-	B	Phyllosphere	6666666.688709.txt	99	104	59	21	M._sp._RAS18
NBRC15911	st162	Meth_extorquens	161	B	-	B	Anthropo	6666666.688647.txt	96	105	56	22	M._extorquens_NBRC15911
PSBB041	st175	Meth_zatmanii	174	B	-	B	Water	6666666.688657.txt	104	106	62	20	M._zatmanii_PSBB041
NBRC15687T_(TK0001T)	st153	Meth_extorquens	152	-	B	B	Soil	6666666.879419.txt	103	107	63	27	M._extorquens_NBRC15687T_(TK0001T)
PinkelPinkel_01	st171	Meth_populi	170	B	-	B	Anthropo/Soil	6666666.688655.txt	112	108	72	8	M._populi_PinkelPinkel_01
YC-XJ1	st207	Meth_populi	206	B	-	B	Unknown	6666666.688661.txt	113	109	71	11	M._populi_YC-XJ1
DSM11490_(JCM10893T)	st50	Meth_thiocyanatum	49	B	B	B	Rhizhosphere	6666666.688712.txt	111	110	68	10	M._thiocyanatum_DSM11490_(JCM10893T)
BJ001	st27	Meth_populi	26	B	-	B	Endophyte	6666666.688641.txt	109	111	69	12	M._populi_BJ001
CD11_7	st40	Meth_populi	39	B	-	B	Anthropo/Microbiome	6666666.688622.txt	110	112	70	13	M._populi_CD11_7
DSM15083T	st154	Meth_podarium	153	-	B	B	Anthropo/Skin	6666666.879420.txt	114	113	54	31	M._podarium_DSM15083T
P-1M	st168	Meth_populi	167	B	-	B	Anthropo/Water	6666666.688640.txt	118	114	73	29	M._populi_P-1M
DSM5687	st58	Meth_rhodesianum-lusitanum	57	B	B	B	Anthropo	6666666.688708.txt	117	115	76	14	M._rhodesianum/lusitanum_DSM5687
MB200	st149	Meth_sp	148	B	-	B	Anthropo	6666666.688645.txt	115	116	75	28	M._sp._MB200
DB1607	st46	Meth_sp	45	B	-	B	Anthropo	6666666.673186.txt	116	117	74	30	M._sp._DB1607
R2-1	st177	Meth_sp	176	B	-	B	Unknown	6666666.688710.txt	95	118	53	15	M._sp._R2-1
DM1	st48	Meth_sp	47	B	-	B	Anthropo	6666666.673106.txt	120	119	50	34	M._sp._DM1
NBRC15686T	st152	Meth_aminovorans	151	-	B	B	Soil	6666666.879418.txt	119	120	49	35	M._aminovorans_NBRC15686T
CLZ	st43	Meth_sp	42	B	-	B	Soil	6666666.673196.txt	122	121	52	32	M._sp._CLZ
NI91	st163	Meth_sp	162	B	-	B	Soil	6666666.673195.txt	121	122	51	33	M._sp._NI91
DSM19015T	st135	Meth_iners	134	-	A1	D	Air	6666666.879404.txt	126	123	18	80	M._iners_DSM19015T
Leaf466	st110	Meth_sp	109	A3	-	D	Phyllosphere	6666666.673066.txt	125	124	21	83	M._sp._Leaf466
Leaf108	st99	Meth_sp	98	A3	-	D	Phyllosphere	6666666.673051.txt	124	125	20	81	M._sp._Leaf108
Leaf399	st107	Meth_sp	106	A3	-	D	Phyllosphere	6666666.673059.txt	123	126	19	82	M._sp._Leaf399
DSM21328T	st140	Meth_marchantiae	139	-	A1	D	Phyllosphere	6666666.879409.txt	137	127	7	43	M._marchantiae_DSM21328T
77	st18	Meth_sp	17	A2	-	D	Water	6666666.688673.txt	138	128	6	42	M._sp._77
Leaf91	st117	Meth_sp	116	A2	-	D	Phyllosphere	6666666.673045.txt	136	129	9	44	M._sp._Leaf91
Leaf86	st113	Meth_sp	112	A2	-	D	Phyllosphere	6666666.673038.txt	135	130	8	45	M._sp._Leaf86
10	st1	Meth_sp	0	A2	-	D	Water	6666666.688669.txt	134	131	10	47	M._sp._10
E-045	st64	Meth_sp	63	A2	-	D	Phyllosphere	6666666.688746.txt	133	132	11	48	M._sp._E-045
Leaf93	st118	Meth_sp	117	A2	-	D	Phyllosphere	6666666.673040.txt	132	133	12	46	M._sp._Leaf93
Leaf106	st98	Meth_sp	97	A2	-	D	Phyllosphere	6666666.673048.txt	131	134	13	52	M._sp._Leaf106
88A	st19	Meth_sp	18	A2	-	D	Water	6666666.673027.txt	130	135	14	51	M._sp._88A
Leaf85	st112	Meth_sp	111	A2	-	D	Phyllosphere	6666666.673037.txt	129	136	15	53	M._sp._Leaf85
WL19	st196	Meth_sp	195	A2	-	D	Phyllosphere	6666666.673168.txt	128	137	16	50	M._sp._WL19
DSM21893T	st129	Meth_bullatum	128	-	A1	D	Phyllosphere	6666666.879397.txt	127	138	17	49	M._bullatum_DSM21893T
BTF04	st33	Meth_sp	32	A1	-	D	Water	6666666.673191.txt	149	139	47	64	M._sp._BTF04
Gh-105_(NRRLB51692T)	st69	Meth_gossipiicola	68	A1	A1	D	Phyllosphere	6666666.673220.txt	148	140	46	58	M._gossipiicola_Gh-105_(NRRLB51692T)
DSM17169T	st125	Meth_adhaesivum	124	-	A1	D	Anthropo/Water	6666666.879394.txt	147	141	45	57	M._adhaesivum_DSM17169T
J-090	st89	Meth_sp	88	A1	-	D	Phyllosphere	6666666.688753.txt	144	142	42	56	M._sp._J-090
Leaf99	st120	Meth_sp	119	A1	-	D	Phyllosphere	6666666.673041.txt	145	143	44	55	M._sp._Leaf99
WL69	st201	Meth_sp	200	A1	-	D	Phyllosphere	6666666.673155.txt	146	144	43	54	M._sp._WL69
Leaf102	st96	Meth_sp	95	A1	-	D	Phyllosphere	6666666.673042.txt	141	145	40	61	M._sp._Leaf102
Leaf100	st95	Meth_sp	94	A1	-	D	Phyllosphere	6666666.673046.txt	142	146	39	60	M._sp._Leaf100
Leaf112	st101	Meth_sp	100	A1	-	D	Phyllosphere	6666666.673053.txt	143	147	37	63	M._sp._Leaf112
Leaf469	st111	Meth_sp	110	A1	-	D	Phyllosphere	6666666.673063.txt	139	148	38	62	M._sp._Leaf469
Leaf87	st114	Meth_sp	113	A1	-	D	Phyllosphere	6666666.673043.txt	140	149	41	59	M._sp._Leaf87
J-068	st82	Meth_sp	81	A1	-	D	Phyllosphere	6666666.688752.txt	152	150	22	79	M._sp._J-068
J-078	st87	Meth_sp	86	A1	-	D	Phyllosphere	6666666.688748.txt	151	151	24	78	M._sp._J-078
DSM21331T	st132	Meth_goesingense	131	-	A1	D	Endophyte	6666666.879400.txt	150	152	23	77	M._goesingense_DSM21331T
Leaf117	st103	Meth_sp	102	A1	-	D	Phyllosphere	6666666.673049.txt	154	153	36	65	M._sp._Leaf117
Leaf113	st102	Meth_sp	101	A1	-	D	Phyllosphere	6666666.673054.txt	153	154	35	66	M._sp._Leaf113
Leaf104	st97	Meth_sp	96	A1	-	D	Phyllosphere	6666666.673047.txt	155	155	32	67	M._sp._Leaf104
GV094	st70	Meth_sp	69	A1	-	D	Rhizhosphere	6666666.673118.txt	156	156	31	69	M._sp._GV094
GV104	st71	Meth_sp	70	A1	-	D	Rhizhosphere	6666666.673100.txt	157	157	30	68	M._sp._GV104
Leaf125	st105	Meth_sp	104	A1	-	D	Phyllosphere	6666666.673050.txt	158	158	34	71	M._sp._Leaf125
V23	st191	Meth_sp	190	A1	-	D	Water	6666666.673098.txt	159	159	33	70	M._sp._V23
Leaf89	st116	Meth_sp	115	A1	-	D	Phyllosphere	6666666.673039.txt	161	160	26	73	M._sp._Leaf89
Leaf465	st109	Meth_sp	108	A1	-	D	Phyllosphere	6666666.673061.txt	162	161	29	74	M._sp._Leaf465
Leaf88	st115	Meth_sp	114	A1	-	D	Phyllosphere	6666666.673044.txt	160	162	28	72	M._sp._Leaf88
Leaf94	st119	Meth_sp	118	A1	-	D	Phyllosphere	6666666.673068.txt	164	163	25	75	M._sp._Leaf94
Leaf111	st100	Meth_sp	99	A1	-	D	Phyllosphere	6666666.673052.txt	163	164	27	76	M._sp._Leaf111
DSM17168T	st136	Meth_isbiliense	135	-	C2	C	Anthropo/Water	6666666.879405.txt	167	165	167	166	M._isbiliense_DSM17168T
ORS2060_(LMG21967T)	st167	Meth_nodulans	166	C	C2	C	Rhizhosphere	6666666.673022.txt	166	166	169	167	M._nodulans_ORS2060_(LMG21967T)
4-46	st16	Meth_sp	15	C	-	C	Rhizhosphere	6666666.673020.txt	165	167	168	168	M._sp._4-46
TER-1_(BCRC81157T)	st185	Meth_oryzihabitans	184	C	C	C	Anthropo/Water	6666666.673124.txt	168	168	165	165	M._oryzihabitans_TER-1_(BCRC81157T)
MIMD6_(KCTC52305T)	st151	Meth_crusticola	150	C	C1	C	Soil	6666666.688612.txt	169	169	166	169	M._crusticola_MIMD6_(KCTC52305T)
DSM16961T	st148	Meth_variabile	147	-	C1	C	Anthropo/Water	6666666.879417.txt	170	170	171	173	M._variabile_DSM16961T
6HR-1_(KCTC42760T)	st17	Meth_nonmethylotrophicum	16	C	C1	C	Anthropo/Soil	6666666.673134.txt	179	171	174	170	M._nonmethylotrophicum_6HR-1_(KCTC42760T)
DSM25844T_(N4211)	st145	Meth_tarhaniae	144	-	C1	C	Soil	6666666.879414.txt	185	172	170	180	M._tarhaniae_DSM25844T_(N4211)
DSM16371T	st128	Meth_aquaticum	127	-	C1	C	Anthropo/Water	6666666.879396.txt	180	173	173	175	M._aquaticum_DSM16371T
JCM32048T_(IER25-16)	st131	Meth_frigidaeris	130	-	C1	C	Anthropo	6666666.879399.txt	186	174	172	179	M._frigidaeris_JCM32048T_(IER25-16)
PR1016A_(JCM32670T)	st173	Meth_currus	172	C	C1	C	Anthropo	6666666.673102.txt	187	175	175	176	M._currus_PR1016A_(JCM32670T)
174MFSha1.1	st4	Meth_sp	3	C	-	C	Plant	6666666.672890.txt	188	176	176	177	M._sp._174MFSha1.1
17Sr1-1	st8	Meth_sp	7	C	-	C	Soil	6666666.673114.txt	189	177	177	178	M._sp._17Sr1-1
SE2.11_(JCM30761T)	st181	Meth_indicum	180	C	C1	C	Seed	6666666.673032.txt	175	178	186	183	M._indicum_SE2.11_(JCM30761T)
NS230	st166	Meth_indicum	165	C	-	C	Seed	6666666.673076.txt	178	179	188	184	M._indicum_NS230
NS228	st164	Meth_indicum	163	C	-	C	Seed	6666666.673074.txt	176	180	187	185	M._indicum_NS228
NS229	st165	Meth_indicum	164	C	-	C	Seed	6666666.673072.txt	177	181	189	186	M._indicum_NS229
ap11	st22	Meth_sp	21	C	-	C	Rhizhosphere	6666666.673212.txt	174	182	182	182	M._sp._ap11
MA-22A	st123	Meth_aquaticum	122	C	-	C	Phyllosphere	6666666.673080.txt	173	183	183	189	M._aquaticum_MA-22A
yr596	st212	Meth_sp	211	C	-	C	Rhizhosphere	6666666.673216.txt	172	184	185	188	M._sp._yr596
IF7SW-B2T	st127	Meth_ajmalii	126	-	C1	C	Anthropo/Space	6666666.879423.txt	171	185	184	187	M._ajmalii_IF7SW-B2T
17Sr1-39_(NBRC112874T)	st10	Meth_terricola	9	C	C1	C	Soil	6666666.673138.txt	181	186	179	174	M._terricola_17Sr1-39_(NBRC112874T)
DB0501	st45	Meth_sp	44	C	-	C	Anthropo	6666666.673193.txt	182	187	178	172	M._sp._DB0501
17Sr1-28_(KCTC52904T)	st9	Meth_terrae	8	C	C1	C	Anthropo/Soil	6666666.673112.txt	184	188	180	181	M._terrae_17Sr1-28_(KCTC52904T)
PMB02_(JCM14648T)	st172	Meth_platani	171	C	C1	C	Phyllosphere	6666666.673086.txt	183	189	181	171	M._platani_PMB02_(JCM14648T)
DB1703	st47	Ente_sp	46	-	-	E	Soil	6666666.688721.txt	190	190	190	190	E._sp._DB1703
DSM25903	st56	Ente_rhinocerotis	55	-	-	E	Stool/Animal	6666666.688667.txt	191	191	191	191	E._rhinocerotis_DSM25903
HR1	st74	Micr_sp	73	-	-	M	Rhizhosphere	6666666.688677.txt	193	192	201	193	M._sp._HR1
17mud1-3	st6	Micr_sp	5	-	-	M	Soil	6666666.688674.txt	192	193	200	192	M._sp._17mud1-3
KCTC23863	st92	Micr_makkahensis	91	-	-	M	Soil	6666666.688713.txt	201	194	206	197	M._makkahensis_KCTC23863
CGMCC1.7666	st42	Micr_guangxiensis	41	-	-	M	Soil	6666666.688671.txt	200	195	196	196	M._guangxiensis_CGMCC1.7666
BR3299	st31	Micr_vignae	30	-	-	M	Rhizhosphere_(nodules)	6666666.688636.txt	198	196	207	198	M._vignae_BR3299
KLBC81	st93	Micr_sp	92	-	-	M	Rhizhosphere_(nodules)	6666666.688624.txt	199	197	208	199	M._sp._KLBC81
ATCCBAA-817	st25	Micr_flocculans	24	-	-	M	Water_(Hot_spring)	6666666.688676.txt	202	198	197	205	M._flocculans_ATCCBAA-817
DSM15743	st52	Micr_flocculans	51	-	-	M	Water_(Hot_spring)	6666666.688722.txt	203	199	198	206	M._flocculans_DSM15743
SYSUG3D207	st184	Micr_sp	183	-	-	M	Hot_spring_sediments	6666666.688718.txt	207	200	193	212	M._sp._SYSUG3D207
SYSUG3D203	st183	Micr_sp	182	-	-	M	Hot_spring_sediments	6666666.688719.txt	206	201	192	213	M._sp._SYSUG3D203
BSC39	st32	Micr_sp	31	-	-	M	Soil	6666666.688651.txt	205	202	195	208	M._sp._BSC39
AT3.9	st24	Micr_lupini	23	-	-	M	Plant	6666666.688720.txt	204	203	194	207	M._lupini_AT3.9
V5/3m	st192	Micr_ossetica	191	-	-	M	Rhizhosphere_(nodules)	6666666.688605.txt	208	204	209	209	M._ossetica_V5/3m
Lmie10	st121	Micr_tunisiensis	120	-	-	M	Rhizhosphere_(nodules)	6666666.688610.txt	209	205	210	210	M._tunisiensis_Lmie10
M8	st122	Micr_sp	121	-	-	M	Rhizhosphere_(nodules)	6666666.688607.txt	210	206	211	211	M._sp._M8
CCBAU65841	st38	Micr_sp	37	-	-	M	Soil	6666666.688616.txt	211	207	212	204	M._sp._CCBAU65841
WSM3557	st205	Micr_lotononidis	204	-	-	M	Rhizhosphere_(nodules)	6666666.688621.txt	213	208	213	203	M._lotononidis_WSM3557
Marseille-Q2068	st124	Micr_sp	123	-	-	M	Human_skin	6666666.688717.txt	212	209	205	202	M._sp._Marseille-Q2068
DSM14364	st51	Micr_subterranea	50	-	-	M	Geothermal_source	6666666.688668.txt	196	210	204	194	M._subterranea_DSM14364
