"Name1" "Name2" "Sequences" "Size1(bp)" "Size2(bp)" "Type"
"89" "Gene01171" "229" "1950" "1770" "peg"
"90" "Gene01180" "227" "1308" "780" "peg"
"91" "Gene01184" "228" "1281" "1056" "peg"
"92" "Gene01199" "228" "1110" "879" "peg"
"93" "Gene01212" "214" "1569" "867" "peg"
"94" "Gene01221" "227" "1155" "657" "peg"
"95" "Gene01245" "220" "1998" "1479" "peg"
"96" "Gene01250" "208" "360" "327" "peg"
"97" "Gene01293" "226" "456" "387" "peg"
"98" "Gene01355" "220" "327" "249" "peg"
"99" "Gene01406" "205" "7875" "7311" "peg"
"100" "Gene01416" "209" "1725" "1287" "peg"
"101" "Gene01420" "229" "3618" "3468" "peg"
"102" "Gene01446" "202" "1116" "1011" "peg"
"103" "Gene01458" "222" "657" "576" "peg"
"104" "Gene01496" "228" "1548" "1197" "peg"
"105" "Gene01521" "228" "1467" "1320" "peg"
"106" "Gene01526" "229" "1065" "822" "peg"
"107" "Gene01530" "231" "1662" "1362" "peg"
"108" "Gene01539" "231" "819" "684" "peg"
"109" "Gene01540" "230" "1119" "942" "peg"
"110" "Gene01562" "223" "1032" "762" "peg"
"111" "Gene01591" "203" "1095" "867" "peg"
"112" "Gene01592" "203" "1044" "978" "peg"
"113" "Gene01593" "204" "1755" "1509" "peg"
"114" "Gene01594" "201" "1500" "1455" "peg"
"115" "Gene01606" "231" "1362" "1089" "peg"
"116" "Gene01643" "231" "783" "558" "peg"
"117" "Gene01654" "211" "885" "630" "peg"
"118" "Gene01687" "209" "924" "897" "peg"
"119" "Gene01689" "208" "1191" "1128" "peg"
"120" "Gene01771" "230" "984" "621" "peg"
"121" "Gene01839" "202" "981" "666" "peg"
"122" "Gene01844" "231" "750" "534" "peg"
"123" "Gene01845" "231" "822" "576" "peg"
"124" "Gene01850" "226" "906" "735" "peg"
"125" "Gene01887" "225" "660" "471" "peg"
"126" "Gene01908" "230" "1068" "879" "peg"
"127" "Gene02151" "231" "834" "498" "peg"
"128" "Gene02183" "230" "609" "474" "peg"
"129" "Gene02187" "230" "1248" "912" "peg"
"130" "Gene02203" "229" "1482" "1233" "peg"
"131" "Gene02210" "227" "1659" "1374" "peg"
"132" "Gene02216" "230" "711" "387" "peg"
"133" "Gene02218" "228" "744" "624" "peg"
"134" "Gene02251" "231" "1005" "738" "peg"
"135" "Gene02254" "228" "804" "570" "peg"
"136" "Gene02277" "225" "720" "567" "peg"
"137" "Gene02296" "229" "1731" "1476" "peg"
"138" "Gene02371" "230" "1167" "1011" "peg"
"139" "Gene02396" "223" "867" "693" "peg"
"140" "Gene02398" "228" "816" "576" "peg"
"141" "Gene02406" "228" "513" "411" "peg"
"142" "Gene02440" "206" "459" "402" "peg"
"143" "Gene02446" "230" "1509" "1395" "peg"
"144" "Gene02450" "226" "1542" "1206" "peg"
"145" "Gene02452" "210" "453" "366" "peg"
"146" "Gene02456" "231" "1170" "1062" "peg"
"147" "Gene02458" "210" "1047" "822" "peg"
"148" "Gene02486" "228" "2358" "2040" "peg"
"149" "Gene02491" "230" "417" "417" "peg"
"150" "Gene02536" "229" "558" "450" "peg"
"151" "Gene02537" "228" "1179" "1035" "peg"
"152" "Gene02560" "228" "1374" "1110" "peg"
"153" "Gene02561" "229" "918" "717" "peg"
"154" "Gene02568" "229" "1890" "1662" "peg"
"155" "Gene02572" "229" "3096" "2607" "peg"
"156" "Gene02575" "229" "2274" "2232" "peg"
"157" "Gene02576" "226" "2460" "1992" "peg"
"158" "Gene02582" "230" "1023" "867" "peg"
"159" "Gene02596" "230" "783" "687" "peg"
"160" "Gene02599" "228" "777" "699" "peg"
"161" "Gene02607" "228" "4197" "4116" "peg"
"162" "Gene02608" "228" "4320" "4170" "peg"
"163" "Gene02619" "229" "900" "723" "peg"
"164" "Gene02626" "226" "1005" "711" "peg"
"165" "Gene02654" "228" "1278" "942" "peg"
"166" "Gene02657" "204" "648" "579" "peg"
"167" "Gene02679" "228" "2136" "1845" "peg"
"168" "Gene02719" "228" "1902" "1650" "peg"
"169" "Gene02740" "228" "1599" "948" "peg"
"170" "Gene02764" "204" "2235" "1995" "peg"
"171" "Gene02767" "228" "3804" "2898" "peg"
"172" "Gene02782" "230" "348" "237" "peg"
"173" "Gene02838" "208" "1869" "1767" "peg"
"174" "Gene02855" "206" "708" "669" "peg"
"175" "Gene02863" "229" "1227" "1035" "peg"
"176" "Gene02879" "229" "960" "759" "peg"
"177" "Gene02884" "231" "1023" "879" "peg"
"178" "Gene02887" "227" "900" "747" "peg"
"179" "Gene02894" "231" "288" "201" "peg"
"180" "Gene02899" "226" "888" "600" "peg"
"181" "Gene02901" "226" "2115" "2061" "peg"
"182" "Gene02906" "228" "807" "540" "peg"
"183" "Gene02989" "223" "1584" "1542" "peg"
"184" "Gene03002" "229" "510" "342" "peg"
"185" "Gene03019" "231" "831" "702" "peg"
"186" "Gene03055" "228" "627" "438" "peg"
"187" "Gene04130" "225" "627" "363" "peg"
"188" "Gene04251" "230" "273" "273" "peg"
"189" "Gene04309" "229" "687" "486" "peg"
"190" "Gene04327" "230" "1137" "996" "peg"
"191" "Gene04329" "231" "474" "264" "peg"
"192" "Gene04330" "214" "810" "678" "peg"
"193" "Gene04332" "230" "459" "363" "peg"
"194" "Gene04355" "224" "3873" "3033" "peg"
"195" "Gene04357" "230" "1110" "786" "peg"
"196" "Gene04367" "225" "3906" "3321" "peg"
"197" "Gene04377" "231" "1590" "1188" "peg"
"198" "Gene04387" "228" "672" "579" "peg"
"199" "Gene04388" "230" "945" "909" "peg"
"200" "Gene04400" "204" "774" "555" "peg"
"201" "Gene04441" "207" "1452" "1353" "peg"
"202" "Gene04461" "206" "951" "705" "peg"
"203" "Gene04486" "230" "1371" "888" "peg"
"204" "Gene04493" "231" "1122" "879" "peg"
"205" "Gene04514" "204" "879" "792" "peg"
"206" "Gene04515" "207" "1050" "915" "peg"
"207" "Gene04526" "227" "1269" "981" "peg"
"208" "Gene04632" "201" "1497" "1161" "peg"
"209" "Gene04633" "201" "1005" "864" "peg"
"210" "Gene04641" "226" "507" "429" "peg"
"211" "Gene04691" "229" "1362" "1107" "peg"
"212" "Gene04698" "231" "1284" "1227" "peg"
"213" "Gene04704" "226" "1392" "1362" "peg"
"214" "Gene04728" "206" "1215" "1032" "peg"
"215" "Gene04735" "225" "1368" "786" "peg"
"216" "Gene04739" "230" "1554" "1329" "peg"
"217" "Gene04749" "205" "687" "480" "peg"
"218" "Gene04750" "230" "1458" "1377" "peg"
"219" "Gene04772" "204" "1038" "933" "peg"
"220" "Gene04792" "224" "1131" "978" "peg"
"221" "Gene04799" "208" "1251" "1167" "peg"
"222" "Gene04813" "211" "1440" "1182" "peg"
"223" "Gene04817" "212" "2484" "2265" "peg"
"224" "Gene04819" "211" "3096" "2436" "peg"
"225" "Gene04862" "230" "1074" "906" "peg"
"226" "Gene04863" "228" "3054" "2046" "peg"
"227" "Gene04870" "229" "1035" "993" "peg"
"228" "Gene04874" "228" "1629" "1548" "peg"
"229" "Gene04877" "202" "654" "468" "peg"
"230" "Gene04892" "225" "1188" "984" "peg"
"231" "Gene04893" "230" "1401" "1332" "peg"
"232" "Gene04894" "231" "720" "648" "peg"
"233" "Gene04895" "229" "1089" "912" "peg"
"234" "Gene04897" "229" "1053" "1020" "peg"
"235" "Gene04898" "229" "1980" "1818" "peg"
"236" "Gene04907" "228" "2586" "2163" "peg"
"237" "Gene04938" "231" "1203" "1089" "peg"
"238" "Gene04956" "226" "1380" "1020" "peg"
"239" "Gene04957" "226" "1200" "930" "peg"
"240" "Gene04974" "228" "2040" "1680" "peg"
"241" "Gene04981" "228" "1077" "918" "peg"
"242" "Gene04982" "227" "1392" "1068" "peg"
"243" "Gene05011" "209" "3603" "2112" "peg"
"244" "Gene05014" "227" "1353" "1287" "peg"
"245" "Gene05018" "229" "1392" "1068" "peg"
"246" "Gene05054" "207" "1746" "1599" "peg"
"247" "Gene05055" "205" "2952" "2616" "peg"
"248" "Gene05056" "209" "1149" "981" "peg"
"249" "Gene05081" "219" "1494" "1299" "peg"
"250" "Gene05087" "231" "690" "654" "peg"
"251" "Gene05115" "214" "936" "798" "peg"
"252" "Gene05132" "231" "762" "639" "peg"
"253" "Gene05143" "207" "816" "429" "peg"
"254" "Gene05178" "229" "726" "561" "peg"
"255" "Gene05184" "230" "684" "648" "peg"
"256" "Gene05185" "229" "918" "774" "peg"
"257" "Gene05186" "230" "600" "585" "peg"
"258" "Gene05191" "228" "1773" "1575" "peg"
"259" "Gene05220" "231" "2052" "1794" "peg"
"260" "Gene05240" "229" "1623" "1488" "peg"
"261" "Gene05299" "209" "1350" "1206" "peg"
"262" "Gene05302" "231" "849" "606" "peg"
"263" "Gene05305" "228" "1248" "1152" "peg"
"264" "Gene05331" "230" "753" "750" "peg"
"265" "Gene05333" "230" "1473" "1467" "peg"
"266" "Gene05334" "228" "1470" "1317" "peg"
"267" "Gene05355" "222" "1335" "1209" "peg"
"268" "Gene05359" "229" "3447" "2919" "peg"
"269" "Gene05420" "206" "1848" "1449" "peg"
"270" "Gene05488" "204" "3615" "3225" "peg"
"271" "Gene05510" "204" "198" "174" "peg"
"272" "Gene05511" "202" "258" "216" "peg"
"273" "Gene05512" "204" "909" "885" "peg"
"274" "Gene05514" "201" "1857" "1506" "peg"
"275" "Gene05515" "202" "1332" "1230" "peg"
"276" "Gene05530" "229" "1440" "1134" "peg"
"277" "Gene05536" "229" "1032" "798" "peg"
"278" "Gene05541" "231" "1239" "1146" "peg"
"279" "Gene05542" "231" "1092" "1086" "peg"
"280" "Gene05543" "212" "1140" "504" "peg"
"281" "Gene05549" "231" "1488" "1263" "peg"
"282" "Gene05551" "228" "777" "693" "peg"
"283" "Gene05557" "203" "954" "726" "peg"
"284" "Gene05562" "230" "651" "417" "peg"
"285" "Gene05574" "231" "543" "516" "peg"
"286" "Gene05575" "231" "450" "447" "peg"
"287" "Gene05576" "229" "471" "459" "peg"
"288" "Gene05577" "230" "366" "366" "peg"
"289" "Gene05578" "230" "522" "477" "peg"
"290" "Gene05579" "230" "411" "411" "peg"
"291" "Gene05581" "230" "360" "360" "peg"
"292" "Gene05582" "230" "468" "375" "peg"
"293" "Gene05583" "230" "711" "696" "peg"
"294" "Gene05584" "231" "387" "363" "peg"
"295" "Gene05585" "231" "426" "309" "peg"
"296" "Gene05586" "230" "384" "381" "peg"
"297" "Gene05588" "230" "315" "312" "peg"
"298" "Gene05589" "230" "723" "615" "peg"
"299" "Gene05590" "231" "315" "264" "peg"
"300" "Gene05591" "231" "393" "288" "peg"
"301" "Gene05593" "230" "840" "834" "peg"
"302" "Gene05594" "230" "237" "183" "peg"
"303" "Gene05597" "231" "165" "165" "peg"
"304" "Gene05598" "225" "132" "132" "peg"
"305" "Gene05599" "231" "222" "198" "peg"
"306" "Gene05600" "230" "123" "123" "peg"
"307" "Gene05601" "228" "786" "723" "peg"
"308" "Gene05602" "230" "621" "618" "peg"
"309" "Gene05603" "230" "771" "561" "peg"
"310" "Gene05604" "230" "531" "531" "peg"
"311" "Gene05605" "231" "378" "369" "peg"
"312" "Gene05606" "230" "585" "561" "peg"
"313" "Gene05616" "227" "2130" "1137" "peg"
"314" "Gene05624" "228" "1329" "1035" "peg"
"315" "Gene05634" "209" "1452" "972" "peg"
"316" "Gene05636" "205" "3474" "3399" "peg"
"317" "Gene05647" "229" "1902" "1662" "peg"
"318" "Gene05653" "225" "969" "804" "peg"
"319" "Gene05665" "219" "771" "594" "peg"
"320" "Gene05705" "217" "1686" "1386" "peg"
"321" "Gene05722" "208" "1458" "1047" "peg"
"322" "Gene05751" "220" "2010" "1350" "peg"
"323" "Gene05759" "228" "3051" "2580" "peg"
"324" "Gene05763" "227" "810" "570" "peg"
"325" "Gene05770" "223" "579" "303" "peg"
"326" "Gene05810" "231" "651" "456" "peg"
"327" "Gene05811" "224" "1209" "858" "peg"
"328" "Gene05812" "230" "942" "798" "peg"
"329" "Gene05840" "206" "669" "621" "peg"
"330" "Gene05854" "207" "987" "843" "peg"
"331" "Gene05855" "227" "867" "861" "peg"
"332" "Gene05857" "200" "1779" "1449" "peg"
"333" "Gene05883" "228" "1638" "1392" "peg"
"334" "Gene05892" "229" "408" "402" "peg"
"335" "Gene05894" "226" "2352" "2157" "peg"
"336" "Gene05895" "227" "2181" "1803" "peg"
"337" "Gene05898" "208" "1692" "1671" "peg"
"338" "Gene05919" "204" "1146" "1059" "peg"
"339" "Gene05942" "228" "1299" "1290" "peg"
"340" "Gene05978" "223" "906" "558" "peg"
"341" "Gene05994" "222" "501" "294" "peg"
"342" "Gene06024" "229" "480" "381" "peg"
"343" "Gene06034" "222" "1515" "789" "peg"
"344" "Gene06039" "226" "558" "507" "peg"
"345" "Gene06053" "208" "618" "438" "peg"
"346" "Gene06066" "230" "693" "552" "peg"
"347" "Gene06068" "223" "969" "588" "peg"
"348" "Gene06085" "223" "609" "447" "peg"
"349" "Gene06086" "229" "291" "249" "peg"
"350" "Gene06091" "231" "1035" "648" "peg"
"351" "Gene06104" "227" "1239" "909" "peg"
"352" "Gene06105" "228" "1044" "1011" "peg"
"353" "Gene06158" "229" "1671" "1287" "peg"
"354" "Gene06210" "227" "1353" "1176" "peg"
"355" "Gene06241" "206" "1005" "768" "peg"
"356" "Gene06242" "226" "1194" "1035" "peg"
"357" "Gene06243" "228" "543" "489" "peg"
"358" "Gene06244" "226" "1296" "1077" "peg"
"359" "Gene06272" "230" "846" "765" "peg"
"360" "Gene06274" "216" "2391" "2013" "peg"
"361" "Gene06280" "212" "2901" "2850" "peg"
"362" "Gene06281" "217" "1593" "1557" "peg"
"363" "Gene06283" "218" "597" "468" "peg"
"364" "Gene06316" "229" "1068" "873" "peg"
"365" "Gene06323" "231" "618" "579" "peg"
"366" "Gene06324" "231" "699" "600" "peg"
"367" "Gene06326" "228" "1581" "978" "peg"
"368" "Gene06328" "230" "2100" "2058" "peg"
"369" "Gene06330" "231" "486" "486" "peg"
"370" "Gene06343" "231" "1041" "1002" "peg"
"371" "Gene06348" "231" "549" "441" "peg"
"372" "Gene06378" "226" "1398" "1290" "peg"
"373" "Gene06379" "224" "780" "546" "peg"
"374" "Gene06433" "230" "1311" "1080" "peg"
"375" "Gene06435" "229" "2853" "2175" "peg"
"376" "Gene06436" "231" "384" "336" "peg"
"377" "Gene06437" "230" "396" "336" "peg"
"378" "Gene06459" "229" "1203" "834" "peg"
"379" "Gene06497" "229" "321" "315" "peg"
"380" "Gene06499" "230" "711" "621" "peg"
"381" "Gene06505" "230" "420" "420" "peg"
"382" "Gene06507" "226" "1098" "759" "peg"
"383" "Gene06545" "230" "933" "639" "peg"
"384" "Gene06553" "230" "2034" "1821" "peg"
"385" "Gene06606" "229" "1203" "924" "peg"
"386" "Gene06608" "205" "2400" "2340" "peg"
"387" "Gene06610" "226" "807" "681" "peg"
"388" "Gene06626" "230" "516" "453" "peg"
"389" "Gene06627" "228" "2256" "1896" "peg"
"390" "Gene06632" "218" "1311" "822" "peg"
"391" "Gene06692" "230" "1362" "1158" "peg"
"392" "Gene06697" "230" "396" "375" "peg"
"393" "Gene06700" "231" "1233" "966" "peg"
"394" "Gene06751" "231" "1734" "1296" "peg"
"395" "Gene06773" "214" "999" "963" "peg"
"396" "Gene06776" "231" "1773" "1581" "peg"
"397" "Gene06778" "228" "1116" "822" "peg"
"398" "Gene06786" "230" "1173" "1137" "peg"
"399" "Gene06788" "207" "1671" "1524" "peg"
"400" "Gene06797" "231" "708" "606" "peg"
"401" "Gene06798" "229" "438" "417" "peg"
"402" "Gene06799" "208" "456" "381" "peg"
"403" "Gene07023" "228" "1149" "1077" "peg"
"404" "Gene07024" "227" "2565" "2418" "peg"
"405" "Gene07038" "228" "1647" "1227" "peg"
"406" "Gene07045" "231" "1194" "1032" "peg"
"407" "Gene07047" "227" "930" "831" "peg"
"408" "Gene07054" "231" "1140" "1080" "peg"
"409" "Gene07058" "231" "396" "306" "peg"
"410" "Gene07061" "228" "1776" "1608" "peg"
"411" "Gene07065" "230" "882" "828" "peg"
"412" "Gene07087" "225" "780" "585" "peg"
"413" "Gene07122" "229" "609" "498" "peg"
"414" "Gene07123" "228" "1785" "1194" "peg"
"415" "Gene07124" "227" "1374" "1215" "peg"
"416" "Gene07130" "226" "1629" "1257" "peg"
"417" "Gene07134" "230" "861" "735" "peg"
"418" "Gene07135" "202" "972" "660" "peg"
"419" "Gene07137" "231" "1167" "1065" "peg"
"420" "Gene07140" "231" "2346" "2211" "peg"
"421" "Gene07166" "200" "1590" "1518" "peg"
"422" "Gene07194" "230" "417" "369" "peg"
"423" "Gene07213" "228" "3138" "2235" "peg"
"424" "Gene07215" "224" "2454" "2145" "peg"
"425" "Gene07233" "231" "1041" "873" "peg"
"426" "Gene07254" "206" "1113" "903" "peg"
"427" "Gene07280" "222" "1308" "969" "peg"
"428" "Gene07304" "210" "1674" "1440" "peg"
"429" "Gene07353" "206" "1350" "933" "peg"
"430" "Gene07388" "228" "960" "852" "peg"
"431" "Gene07391" "229" "1173" "1089" "peg"
"432" "Gene07462" "231" "384" "324" "peg"
"433" "Gene07524" "229" "894" "744" "peg"
"434" "Gene07555" "231" "1497" "1323" "peg"
"435" "Gene07580" "218" "1065" "942" "peg"
"436" "Gene07581" "219" "1731" "1422" "peg"
"437" "Gene07582" "203" "2817" "2487" "peg"
"438" "Gene07601" "230" "450" "294" "peg"
"439" "Gene07635" "221" "1041" "696" "peg"
"440" "Gene07643" "229" "483" "411" "peg"
"441" "Gene07681" "228" "708" "345" "peg"
"442" "Gene07684" "231" "1695" "1593" "peg"
"443" "Gene07686" "230" "1068" "918" "peg"
"444" "Gene07687" "229" "1356" "1332" "peg"
"445" "Gene07688" "230" "417" "315" "peg"
"446" "Gene07702" "231" "591" "462" "peg"
"447" "Gene07720" "200" "3954" "3681" "peg"
"448" "Gene07721" "202" "1356" "996" "peg"
"449" "Gene07723" "229" "516" "420" "peg"
"450" "Gene07736" "231" "399" "399" "peg"
"451" "Gene07749" "200" "1524" "1380" "peg"
"452" "Gene07751" "228" "945" "792" "peg"
"453" "Gene07753" "203" "906" "822" "peg"
"454" "Gene07896" "204" "978" "780" "peg"
"455" "Gene07920" "223" "1131" "753" "peg"
"456" "Gene07944" "223" "717" "429" "peg"
"457" "Gene08059" "231" "711" "474" "peg"
"458" "Gene08197" "204" "1704" "1392" "peg"
"459" "Gene08199" "230" "1344" "1062" "peg"
"460" "Gene08211" "231" "1197" "1164" "peg"
"461" "Gene08213" "229" "987" "846" "peg"
"462" "Gene08214" "227" "975" "669" "peg"
"463" "Gene08217" "231" "942" "717" "peg"
"464" "Gene08225" "226" "1089" "732" "peg"
"465" "Gene08233" "225" "2226" "2124" "peg"
"466" "Gene08242" "225" "1161" "1014" "peg"
"467" "Gene08255" "227" "1455" "1122" "peg"
"468" "Gene08263" "209" "1035" "852" "peg"
"469" "Gene08264" "208" "1221" "993" "peg"
"470" "Gene08270" "209" "1185" "1152" "peg"
"471" "Gene08281" "228" "684" "603" "peg"
"472" "Gene08291" "204" "1545" "1353" "peg"
"473" "Gene08306" "206" "1836" "1386" "peg"
"474" "Gene08323" "220" "1890" "1299" "peg"
"475" "Gene08351" "214" "795" "585" "peg"
"476" "Gene08396" "230" "678" "618" "peg"
"477" "Gene08408" "231" "993" "699" "peg"
"478" "Gene08409" "229" "1716" "1671" "peg"
"479" "Gene08411" "225" "891" "360" "peg"
"480" "Gene08412" "231" "918" "711" "peg"
"481" "Gene08413" "228" "933" "609" "peg"
"482" "Gene08431" "227" "981" "942" "peg"
"483" "Gene08436" "230" "1089" "915" "peg"
"484" "Gene08438" "229" "1569" "1305" "peg"
"485" "Gene08441" "210" "525" "474" "peg"
"486" "Gene08445" "231" "501" "453" "peg"
"487" "Gene08446" "230" "819" "546" "peg"
"488" "Gene08448" "231" "612" "555" "peg"
"489" "Gene08450" "227" "435" "270" "peg"
"490" "Gene08451" "231" "495" "399" "peg"
"491" "Gene08472" "227" "1170" "720" "peg"
"492" "Gene08491" "226" "1002" "657" "peg"
"493" "Gene08534" "227" "1269" "1173" "peg"
"494" "Gene08538" "225" "1236" "1047" "peg"
"495" "Gene08549" "228" "921" "726" "peg"
"496" "Gene08555" "227" "1398" "1038" "peg"
"497" "Gene08594" "231" "2430" "1680" "peg"
"498" "Gene08655" "228" "1863" "1269" "peg"
"499" "Gene08695" "229" "1788" "1506" "peg"
"500" "Gene08727" "228" "861" "645" "peg"
"501" "Gene08730" "209" "753" "420" "peg"
"502" "Gene08754" "227" "1410" "951" "peg"
"503" "Gene08791" "208" "2052" "1074" "peg"
"504" "Gene08805" "203" "651" "546" "peg"
"505" "Gene08824" "209" "978" "882" "peg"
"506" "Gene08831" "227" "306" "306" "peg"
"507" "Gene08833" "231" "369" "369" "peg"
"508" "Gene08837" "228" "387" "354" "peg"
"509" "Gene08839" "231" "291" "249" "peg"
"510" "Gene08840" "230" "279" "276" "peg"
"511" "Gene08841" "228" "1746" "1701" "peg"
"512" "Gene08842" "229" "279" "264" "peg"
"513" "Gene08843" "211" "375" "294" "peg"
"514" "Gene08846" "231" "750" "615" "peg"
"515" "Gene08847" "230" "609" "573" "peg"
"516" "Gene08849" "230" "468" "468" "peg"
"517" "Gene08850" "230" "396" "393" "peg"
"518" "Gene08851" "229" "498" "468" "peg"
"519" "Gene08859" "229" "882" "723" "peg"
"520" "Gene08880" "228" "354" "291" "peg"
"521" "Gene08910" "227" "945" "702" "peg"
"522" "Gene08930" "210" "924" "852" "peg"
"523" "Gene08931" "209" "912" "852" "peg"
"524" "Gene08945" "225" "534" "420" "peg"
"525" "Gene08948" "221" "1161" "786" "peg"
"526" "Gene08949" "206" "222" "210" "peg"
"527" "Gene08971" "206" "684" "510" "peg"
"528" "Gene09058" "211" "891" "768" "peg"
"529" "Gene09088" "215" "1941" "1512" "peg"
"530" "Gene09094" "230" "1422" "1407" "peg"
"531" "Gene09100" "228" "2205" "2007" "peg"
"532" "Gene09101" "224" "1188" "981" "peg"
"533" "Gene09103" "228" "1449" "1284" "peg"
"534" "Gene09109" "226" "915" "678" "peg"
"535" "Gene09151" "228" "972" "834" "peg"
"536" "Gene09167" "231" "531" "456" "peg"
"537" "Gene09171" "231" "594" "474" "peg"
"538" "Gene09172" "229" "579" "459" "peg"
"539" "Gene09177" "231" "1809" "1584" "peg"
"540" "Gene09178" "224" "816" "453" "peg"
"541" "Gene09224" "210" "972" "888" "peg"
"542" "Gene09246" "229" "1332" "966" "peg"
"543" "Gene09327" "229" "720" "564" "peg"
"544" "Gene09328" "228" "1323" "1044" "peg"
"545" "Gene09329" "230" "966" "918" "peg"
"546" "Gene09331" "223" "279" "267" "peg"
"547" "Gene09333" "231" "627" "519" "peg"
"548" "Gene09435" "229" "909" "738" "peg"
"549" "Gene09454" "206" "1095" "789" "peg"
"550" "Gene09462" "231" "1002" "711" "peg"
"551" "Gene09465" "227" "912" "678" "peg"
"552" "Gene09472" "226" "876" "738" "peg"
"553" "Gene09473" "228" "1284" "912" "peg"
"554" "Gene09474" "228" "1518" "1194" "peg"
"555" "Gene09475" "229" "822" "669" "peg"
"556" "Gene09476" "229" "1857" "1536" "peg"
