"Strain" "Biome" "Annotation" "Short.name" "Group_Leducq2" "Contigs" "Genes" "Annotations" "Size" "N50" "GC"
"WL93" "Phyllosphere" "6666666.673161.txt" "st204" "A" 719 7113 2529 5632454 16902 0.698838804882147
"WL30" "Phyllosphere" "6666666.673165.txt" "st198" "A" 368 6555 2515 5608924 38076 0.702892666136631
"SB0023/3" "Fungus" "6666666.673232.txt" "st180" "A" 246 6484 2720 6076434 51248 0.704609649846125
"SW08-7_(DSM22415T)" "Anthropo/Water" "6666666.673234.txt" "st182" "A" 132 6821 2680 6142574 107029 0.70834667083862
"17Sr1-43" "Anthropo/Soil" "6666666.673110.txt" "st11" "A" 1 5647 2535 5539094 5539094 0.707357902089958
"NBRC103626T_(002-074,DSM19564)" "Anthropo/Water" "6666666.879401.txt" "st133" "A" 209 5906 2676 5731015 41430 0.706840818450077
"DSM16372T" "Anthropo/Water" "6666666.879403.txt" "st134" "A" 114 6943 2738 6656884 163090 0.7130918828836
"CCH5-D2" "Anthropo/Water" "6666666.673082.txt" "st39" "A" 1148 7496 2651 6188379 11085 0.712170009060528
"DSM19013T" "Air" "6666666.879395.txt" "st126" "A" 67 4847 2471 4870531 154381 0.702423331753411
"NBRC103628T" "Anthropo/Water" "6666666.879412.txt" "st143" "A" 95 5212 2521 5261201 105199 0.691270617068633
"J-076" "Phyllosphere" "6666666.688751.txt" "st85" "A" 147 5780 2556 5235929 147718 0.705553453684757
"J-067" "Phyllosphere" "6666666.688749.txt" "st81" "A" 145 5783 2603 5356135 162718 0.696742185027617
"NBRC103627T_(DSM19563T)" "Anthropo/Water" "6666666.879407.txt" "st138" "A" 46 5573 2606 5499854 251431 0.679566119928615
"NBRC15688T" "Phyllosphere" "6666666.879410.txt" "st141" "A" 187 6289 2734 5882302 157382 0.69755234259527
"WL64" "Phyllosphere" "6666666.673163.txt" "st200" "A" 348 8151 2715 6888955 48840 0.689569541505091
"WL2" "Phyllosphere" "6666666.673180.txt" "st197" "A" 295 7045 2657 6279870 52056 0.695440958832269
"ARG-1" "Fungus" "6666666.673036.txt" "st23" "A" 92 6771 2722 6296562 135075 0.696728360502412
"GXF4" "Endophyte" "6666666.673023.txt" "st72" "A" 121 6375 2689 6104137 113746 0.701752521529665
"TX0642_(NBRC103629T)" "Anthropo" "6666666.673122.txt" "st186" "A" 4 6635 2713 6338085 5981441 0.699472793361263
"111MFTsu3.1M4" "Plant" "6666666.673222.txt" "st2" "A" 48 6036 2626 5806801 274495 0.702791204113428
"J-048" "Phyllosphere" "6666666.688739.txt" "st79" "A" 304 7671 2728 6308913 74715 0.691155927973594
"J-077" "Phyllosphere" "6666666.688736.txt" "st86" "A" 257 7809 2775 6613582 98005 0.690661766324386
"GXS13" "Endophyte" "6666666.673070.txt" "st73" "A" 112 6231 2586 5803910 109333 0.6906328634668
"J-001" "Phyllosphere" "6666666.688740.txt" "st75" "A" 223 7235 2700 6235579 112709 0.686922944400997
"BL36_(NBRC105203T)" "Phyllosphere" "6666666.673224.txt" "st29" "A" 129 7719 2761 6841105 133435 0.689950816367266
"E-066" "Phyllosphere" "6666666.688735.txt" "st67" "A" 209 7775 2811 6656901 90089 0.691352860261412
"J-072" "Phyllosphere" "6666666.688737.txt" "st84" "A" 229 7794 2809 6528219 67479 0.691358865127092
"J-026" "Phyllosphere" "6666666.688741.txt" "st76" "A" 351 7546 2677 6144892 56922 0.697818558732449
"J-088" "Phyllosphere" "6666666.688738.txt" "st88" "A" 278 7495 2750 6396613 69558 0.686394695051671
"E-065" "Phyllosphere" "6666666.688731.txt" "st66" "A" 299 8564 2812 6986498 97336 0.684238035256281
"J-030" "Phyllosphere" "6666666.688732.txt" "st77" "A" 405 8858 2802 6914656 75897 0.690922457368632
"2A" "Rhizhosphere" "6666666.673189.txt" "st15" "A" 67 6755 2738 6391125 240396 0.699634391216304
"BL47" "Phyllosphere" "6666666.673204.txt" "st30" "A" 47 6300 2618 6014633 305152 0.69212616206502
"E-005" "Phyllosphere" "6666666.688734.txt" "st60" "A" 257 7930 2787 6719858 98548 0.689022251488435
"J-070" "Phyllosphere" "6666666.688730.txt" "st83" "A" 305 8681 2801 7040475 92122 0.699471299263363
"DSM23933T" "Phyllosphere" "6666666.879408.txt" "st139" "A" 208 7363 2779 6596486 124885 0.696475548898653
"E-046" "Phyllosphere" "6666666.688733.txt" "st65" "A" 296 8279 2801 6815891 114105 0.697724947461796
"NBRC103632T_(DSM19566)" "Anthropo/Water" "6666666.879413.txt" "st144" "A" 143 7368 2810 6878587 165545 0.696532313106098
"UNC378MF" "Plant" "6666666.673202.txt" "st188" "A" 77 6875 2776 6356463 188973 0.69637259396194
"P1-11" "Rhizhosphere" "6666666.688628.txt" "st169" "A" 129 7409 2918 6780693 164473 0.693656831468667
"CBMB27_(DSM19779T)" "Phyllosphere" "6666666.673218.txt" "st37" "A" 81 6525 2686 6202188 187673 0.699318017785019
"DSM5686" "Unknown" "6666666.688707.txt" "st57" "A" 25 6117 2714 5970000 681361 0.703162493474454
"UNCCL125" "Plant" "6666666.673228.txt" "st190" "A" 83 7193 2745 6708970 183050 0.700209247942463
"UNCCL110" "Plant" "6666666.688634.txt" "st189" "A" 138 7162 2780 6609839 111309 0.700226645423333
"CBMB20_(DSM18207T)" "Phyllosphere" "6666666.673028.txt" "st36" "A" 1 6402 2694 6286580 6286580 0.700248865875485
"XJLW" "Anthropo/Water" "6666666.673120.txt" "st206" "A" 2 6867 2759 6666614 6498071 0.70137206635929
"YL-MPn5-2016" "Water" "6666666.673200.txt" "st210" "A" 7 7243 2770 6863926 4591585 0.695965709856754
"YL-MPn6-2016" "Water" "6666666.673198.txt" "st211" "A" 6 7213 2771 6858858 6569547 0.696368887202488
"RE1.2" "Seed" "6666666.673092.txt" "st179" "A" 224 6746 2829 6286380 72211 0.714682347509491
"C1" "Anthropo/Water" "6666666.673088.txt" "st34" "A" 1 6718 2806 6459144 6459144 0.713514608955233
"ES_PA-B5" "Rhizhosphere" "6666666.673126.txt" "st68" "A" 9 8224 2963 7696614 6667970 0.708006212871496
"ME94" "Endophyte" "6666666.688706.txt" "st150" "A" 165 6896 2858 6412396 149973 0.716311499599415
"DSM760" "Water" "6666666.673104.txt" "st59" "A" 85 7049 2843 6746608 170699 0.715963832104952
"NBRC15690" "Unknown" "6666666.673140.txt" "st161" "A" 169 7247 2951 6774763 100813 0.713287594452688
"JCM2831_(IAM12098T)" "Unknown" "6666666.673021.txt" "st91" "A" 9 7366 2954 6898100 6077536 0.711481554260801
"Leaf361" "Phyllosphere" "6666666.673057.txt" "st106" "A" 98 7668 2849 6842967 267073 0.711730741732855
"yr668" "Rhizhosphere" "6666666.673226.txt" "st213" "A" 99 7233 2845 6619760 185007 0.712946567889747
"190mf" "Plant" "6666666.673206.txt" "st12" "A" 84 7211 2841 6637584 205458 0.711003382848832
"285MFTsu5.1" "Plant" "6666666.688630.txt" "st14" "A" 95 7124 2887 6624902 222919 0.712774339078264
"UNC300MFChir4.1" "Plant" "6666666.673210.txt" "st187" "A" 80 6877 2826 6431987 222050 0.713368708632509
"275MFSha3.1" "Plant" "6666666.673208.txt" "st13" "A" 69 6982 2845 6538544 232645 0.712492179467604
"13MFTsu3.1M2" "Plant" "6666666.673214.txt" "st3" "A" 69 6720 2816 6352451 225160 0.714865656591263
"BK227" "Endophyte" "6666666.673128.txt" "st28" "A" 43 7057 2866 6634632 488340 0.712596977259173
"NBRC107716_(DSM24027)" "Phyllosphere" "6666666.673145.txt" "st160" "B" 118 5126 2312 4763935 165333 0.665930831671
"DSM24105" "Phyllosphere" "6666666.688715.txt" "st55" "B" 29 5522 2613 5404719 506540 0.672558316490111
"NBRC107714_(NBRC107714)" "Phyllosphere" "6666666.673141.txt" "st158" "B" 103 4796 2241 4626599 103529 0.681127044750306
"DSM23674" "Phyllosphere" "6666666.879415.txt" "st146" "B" 47 4906 2419 4702741 262726 0.681402150808352
"WL9" "Phyllosphere" "6666666.673172.txt" "st203" "B" 221 5187 2293 4671028 42885 0.680092633664177
"NBRC15689T" "Lake/Sediments" "6666666.879411.txt" "st142" "B" 86 5102 2569 5060180 349910 0.703582548588728
"L1A1" "Water" "6666666.673136.txt" "st94" "B" 111 5659 2556 5442235 90932 0.684998725801579
"DSM14458T" "Soil" "6666666.879421.txt" "st155" "B" 56 5669 2642 5542963 333429 0.686553200728763
"CGMCC1.6474_(NCCB100140T)" "Ocean" "6666666.688663.txt" "st41" "B" 64 5598 2651 5322326 174813 0.700771181727372
"Leaf456" "Phyllosphere" "6666666.673064.txt" "st108" "B" 44 5899 2577 5574512 326059 0.699731681139623
"DSM2163" "Soil" "6666666.688716.txt" "st54" "B" 58 5557 2651 5399748 170748 0.703597789380845
"DSM5688T_(LMG6087T)" "Anthropo/Food" "6666666.879422.txt" "st156" "B" 391 5425 2685 5203102 29239 0.694532050841545
"B4" "Anthropo/Water" "6666666.673116.txt" "st26" "B" 61 5264 2571 5120733 197288 0.70066518896426
"J-043" "Phyllosphere" "6666666.688750.txt" "st78" "B" 81 5486 2696 5282872 255134 0.690240183651904
"Leaf123" "Phyllosphere" "6666666.673055.txt" "st104" "B" 39 5478 2703 5433316 370953 0.690881031421065
"Q1" "Endophyte" "6666666.688658.txt" "st176" "B" 116 5572 2746 5508879 162159 0.690627142680754
"AMS5" "Phyllosphere" "6666666.673078.txt" "st21" "B" 4 5635 2689 5598694 5435349 0.689554422349094
"DM4_(DSM6343)" "Anthropo/Water" "6666666.688638.txt" "st49" "B" 3 6395 2971 6123747 5943667 0.685789208077601
"PA1" "Phyllosphere" "6666666.688660.txt" "st170" "B" 1 5459 2823 5470387 5470387 0.687970656592576
"AM1_(ATCC14718)" "Anthropo" "6666666.688625.txt" "st20" "B" 5 7173 2987 6879675 5511221 0.689411250935653
"CM4_(NCIMB13688)" "Anthropo/Soil" "6666666.688637.txt" "st44" "B" 3 6335 2942 6180621 5777804 0.686453654087125
"PSBB040" "Water" "6666666.688653.txt" "st174" "B" 1 5778 2804 5654311 5654311 0.688006624204935
"RAS18" "Phyllosphere" "6666666.688709.txt" "st178" "B" 37 6039 2850 5852653 518199 0.68832562852196
"NBRC15911" "Anthropo" "6666666.688647.txt" "st162" "B" 97 5918 2861 5720391 225436 0.689535601115048
"PSBB041" "Water" "6666666.688657.txt" "st175" "B" 1 5719 2799 5610348 5610348 0.688295805738626
"NBRC15687T_(TK0001T)" "Soil" "6666666.879419.txt" "st153" "B" 1 6003 2810 5715512 5715512 0.687913667171566
"PinkelPinkel_01" "Anthropo/Soil" "6666666.688655.txt" "st171" "B" 35 5885 2808 5630787 589043 0.697817456820938
"YC-XJ1" "Unknown" "6666666.688661.txt" "st207" "B" 1 5425 2789 5395050 5395050 0.697747752348858
"DSM11490_(JCM10893T)" "Rhizhosphere" "6666666.688712.txt" "st50" "B" 30 5686 2821 5625533 678043 0.69809033669081
"BJ001" "Endophyte" "6666666.688641.txt" "st27" "B" 3 5887 2880 5848795 5800354 0.697484098915678
"CD11_7" "Anthropo/Microbiome" "6666666.688622.txt" "st40" "B" 124 7301 3006 7004895 153616 0.695545627566346
"DSM15083T" "Anthropo/Skin" "6666666.879420.txt" "st154" "B" 731 5875 2708 5269362 10390 0.704196202635916
"P-1M" "Anthropo/Water" "6666666.688640.txt" "st168" "B" 6 6087 2779 5942862 5705293 0.694122021768369
"DSM5687" "Anthropo" "6666666.688708.txt" "st58" "B" 52 5995 2814 5870535 290899 0.695499247129682
"MB200" "Anthropo" "6666666.688645.txt" "st149" "B" 30 5877 2776 5763690 2165526 0.693719953594288
"DB1607" "Anthropo" "6666666.673186.txt" "st46" "B" 201 6378 2765 6045066 143845 0.692950071915184
"R2-1" "Unknown" "6666666.688710.txt" "st177" "B" 52 6052 2757 5824927 246291 0.682919980573427
"DM1" "Anthropo" "6666666.673106.txt" "st48" "B" 2 6204 2683 5904619 5663901 0.687920891651355
"NBRC15686T" "Soil" "6666666.879418.txt" "st152" "B" 118 6239 2739 6073120 224041 0.687250838749399
"CLZ" "Soil" "6666666.673196.txt" "st43" "B" 1 5413 2634 5408782 5408782 0.690662582563423
"NI91" "Soil" "6666666.673195.txt" "st163" "B" 1 5411 2632 5408794 5408794 0.690587721659091
"DSM19015T" "Air" "6666666.879404.txt" "st135" "D" 175 6147 2514 5472791 71744 0.684634428255302
"Leaf466" "Phyllosphere" "6666666.673066.txt" "st110" "D" 36 4477 2265 4299353 262083 0.70126578371827
"Leaf108" "Phyllosphere" "6666666.673051.txt" "st99" "D" 35 4577 2271 4465099 324002 0.700572986674417
"Leaf399" "Phyllosphere" "6666666.673059.txt" "st107" "D" 35 4566 2271 4454596 360287 0.700764500602688
"DSM21328T" "Phyllosphere" "6666666.879409.txt" "st140" "D" 82 4750 2418 4606735 112485 0.671498545023083
"77" "Water" "6666666.688673.txt" "st18" "D" 1 4649 2440 4664957 4664957 0.672473991073011
"Leaf91" "Phyllosphere" "6666666.673045.txt" "st117" "D" 52 5530 2447 5256950 231586 0.666312738374293
"Leaf86" "Phyllosphere" "6666666.673038.txt" "st113" "D" 44 5546 2460 5297922 267233 0.665512127869733
"10" "Water" "6666666.688669.txt" "st1" "D" 4 5016 2511 4982369 4978414 0.672965373277853
"E-045" "Phyllosphere" "6666666.688746.txt" "st64" "D" 133 6234 2592 5587173 168055 0.675386276743092
"Leaf93" "Phyllosphere" "6666666.673040.txt" "st118" "D" 31 4822 2371 4744593 372779 0.676299232683743
"Leaf106" "Phyllosphere" "6666666.673048.txt" "st98" "D" 36 4884 2382 4758505 431655 0.678898645442213
"88A" "Water" "6666666.673027.txt" "st19" "D" 4 4951 2389 4889294 4842330 0.676921244210956
"Leaf85" "Phyllosphere" "6666666.673037.txt" "st112" "D" 35 5363 2423 5141287 329630 0.676219282284408
"WL19" "Phyllosphere" "6666666.673168.txt" "st196" "D" 316 5702 2445 5165891 31632 0.676293705156805
"DSM21893T" "Phyllosphere" "6666666.879397.txt" "st129" "D" 54 4993 2485 4949171 206166 0.677103795416739
"BTF04" "Water" "6666666.673191.txt" "st33" "D" 257 5446 2395 5158348 103303 0.672283264295404
"Gh-105_(NRRLB51692T)" "Phyllosphere" "6666666.673220.txt" "st69" "D" 77 4642 2269 4521619 141167 0.691191619561682
"DSM17169T" "Anthropo/Water" "6666666.879394.txt" "st125" "D" 61 4675 2411 4671479 176656 0.690005527669596
"J-090" "Phyllosphere" "6666666.688753.txt" "st89" "D" 119 5578 2504 5035977 114141 0.694740696530541
"Leaf99" "Phyllosphere" "6666666.673041.txt" "st120" "D" 14 4882 2331 4645408 908384 0.700531787117875
"WL69" "Phyllosphere" "6666666.673155.txt" "st201" "D" 225 5087 2329 4689064 43639 0.699496584989407
"Leaf102" "Phyllosphere" "6666666.673042.txt" "st96" "D" 41 4776 2355 4658421 340047 0.693959101494275
"Leaf100" "Phyllosphere" "6666666.673046.txt" "st95" "D" 63 4878 2369 4710679 224925 0.692431498303144
"Leaf112" "Phyllosphere" "6666666.673053.txt" "st101" "D" 34 4783 2379 4692710 313841 0.694861264689133
"Leaf469" "Phyllosphere" "6666666.673063.txt" "st111" "D" 46 4862 2365 4698659 459363 0.693531542111954
"Leaf87" "Phyllosphere" "6666666.673043.txt" "st114" "D" 61 5181 2389 4979245 207369 0.69143922322713
"J-068" "Phyllosphere" "6666666.688752.txt" "st82" "D" 128 5508 2517 5112631 145814 0.697656510466117
"J-078" "Phyllosphere" "6666666.688748.txt" "st87" "D" 142 6041 2600 5533900 145456 0.697457060952797
"DSM21331T" "Endophyte" "6666666.879400.txt" "st132" "D" 263 5596 2589 5322433 38528 0.692623672257397
"Leaf117" "Phyllosphere" "6666666.673049.txt" "st103" "D" 40 5567 2416 5318295 626185 0.682476389040559
"Leaf113" "Phyllosphere" "6666666.673054.txt" "st102" "D" 54 5330 2402 5150244 189663 0.684364042141714
"Leaf104" "Phyllosphere" "6666666.673047.txt" "st97" "D" 41 5130 2427 4966411 328769 0.704103325897131
"GV094" "Rhizhosphere" "6666666.673118.txt" "st70" "D" 59 5224 2461 5109752 217899 0.698220201323675
"GV104" "Rhizhosphere" "6666666.673100.txt" "st71" "D" 63 5239 2461 5112454 217899 0.698116621275666
"Leaf125" "Phyllosphere" "6666666.673050.txt" "st105" "D" 49 5811 2486 5450419 297038 0.693187168073446
"V23" "Water" "6666666.673098.txt" "st191" "D" 137 6373 2495 5919607 176073 0.687024227642782
"Leaf89" "Phyllosphere" "6666666.673039.txt" "st116" "D" 32 5051 2441 5002251 341415 0.699540328907826
"Leaf465" "Phyllosphere" "6666666.673061.txt" "st109" "D" 48 5251 2439 5054143 239452 0.698853815059182
"Leaf88" "Phyllosphere" "6666666.673044.txt" "st115" "D" 55 5174 2418 5021393 273027 0.698881026714117
"Leaf94" "Phyllosphere" "6666666.673068.txt" "st119" "D" 64 5622 2460 5246047 193422 0.69680626892049
"Leaf111" "Phyllosphere" "6666666.673052.txt" "st100" "D" 74 5511 2421 5162270 266804 0.695689951820013
"DSM17168T" "Anthropo/Water" "6666666.879405.txt" "st136" "C" 167 7340 3017 6957643 85471 0.71365196980262
"ORS2060_(LMG21967T)" "Rhizhosphere" "6666666.673022.txt" "st167" "C" 8 11083 3116 8837056 7771829 0.688330972541116
"4-46" "Rhizhosphere" "6666666.673020.txt" "st16" "C" 3 8696 3044 7736344 7658896 0.71472866634775
"TER-1_(BCRC81157T)" "Anthropo/Water" "6666666.673124.txt" "st185" "C" 197 6707 2774 6320225 182711 0.721287689540288
"MIMD6_(KCTC52305T)" "Soil" "6666666.688612.txt" "st151" "C" 456 8040 3018 7474923 34305 0.729216426268065
"DSM16961T" "Anthropo/Water" "6666666.879417.txt" "st148" "C" 560 8067 3005 7398003 32604 0.711636309762727
"6HR-1_(KCTC42760T)" "Anthropo/Soil" "6666666.673134.txt" "st17" "C" 102 8071 2909 7824682 257562 0.7140155299157
"DSM25844T_(N4211)" "Soil" "6666666.879414.txt" "st145" "C" 480 7276 2973 6720585 35163 0.708916183000556
"DSM16371T" "Anthropo/Water" "6666666.879396.txt" "st128" "C" 512 7849 3005 7395363 32100 0.703961475564385
"JCM32048T_(IER25-16)" "Anthropo" "6666666.879399.txt" "st131" "C" 421 8501 3124 7863229 153729 0.704951166032574
"PR1016A_(JCM32670T)" "Anthropo" "6666666.673102.txt" "st173" "C" 5 8174 2941 7744108 6553211 0.704500837739657
"174MFSha1.1" "Plant" "6666666.672890.txt" "st4" "C" 85 7754 2905 7435203 171304 0.711123202845261
"17Sr1-1" "Soil" "6666666.673114.txt" "st8" "C" 1 6649 2742 6542425 6542425 0.710379641752332
"SE2.11_(JCM30761T)" "Seed" "6666666.673032.txt" "st181" "C" 504 7465 2836 6895870 28164 0.707952166039617
"NS230" "Seed" "6666666.673076.txt" "st166" "C" 383 6806 2764 6327043 32708 0.712736850554698
"NS228" "Seed" "6666666.673074.txt" "st164" "C" 487 6902 2766 6297070 29044 0.712413691824168
"NS229" "Seed" "6666666.673072.txt" "st165" "C" 443 6883 2773 6329904 30004 0.712974051404661
"ap11" "Rhizhosphere" "6666666.673212.txt" "st22" "C" 56 7306 2829 6981668 236853 0.714012765494954
"MA-22A" "Phyllosphere" "6666666.673080.txt" "st123" "C" 6 7937 2887 7557199 5347788 0.709854089625116
"yr596" "Rhizhosphere" "6666666.673216.txt" "st212" "C" 84 6888 2764 6569940 152274 0.715943487272847
"IF7SW-B2T" "Anthropo/Space" "6666666.879423.txt" "st127" "C" 192 7089 2962 6791804 58963 0.714400377428636
"17Sr1-39_(NBRC112874T)" "Soil" "6666666.673138.txt" "st10" "C" 103 8366 2905 7873274 258273 0.70809433208605
"DB0501" "Anthropo" "6666666.673193.txt" "st45" "C" 88 8036 2961 7583483 240180 0.707358956173312
"17Sr1-28_(KCTC52904T)" "Anthropo/Soil" "6666666.673112.txt" "st9" "C" 1 6347 2676 6162198 6162198 0.717718156666169
"PMB02_(JCM14648T)" "Phyllosphere" "6666666.673086.txt" "st172" "C" 149 7529 2856 7013614 126688 0.71598382675205
"DB1703" "Soil" "6666666.688721.txt" "st47" "E" 10 5000 2314 4652148 792945 0.689031932609702
"DSM25903" "Stool/Animal" "6666666.688667.txt" "st56" "E" 20 5257 2334 5164689 1032375 0.687540375123732
"HR1" "Rhizhosphere" "6666666.688677.txt" "st74" "M" 1 3936 2121 3822362 3822362 0.68138595951885
"17mud1-3" "Soil" "6666666.688674.txt" "st6" "M" 1 4425 2261 4403076 4403076 0.645933055208709
"KCTC23863" "Soil" "6666666.688713.txt" "st92" "M" 94 6144 2529 5580282 257060 0.636787222641882
"CGMCC1.7666" "Soil" "6666666.688671.txt" "st42" "M" 34 4902 2363 4721020 407384 0.621645991324899
"BR3299" "Rhizhosphere_(nodules)" "6666666.688636.txt" "st31" "M" 165 7336 2709 6456591 99306 0.617892753296309
"KLBC81" "Rhizhosphere_(nodules)" "6666666.688624.txt" "st93" "M" 354 8036 2730 6831655 70985 0.619726091562031
"ATCCBAA-817" "Water_(Hot_spring)" "6666666.688676.txt" "st25" "M" 30 4128 2173 4028727 282207 0.650114707065851
"DSM15743" "Water_(Hot_spring)" "6666666.688722.txt" "st52" "M" 32 4073 2173 4014541 281977 0.650001946044526
"SYSUG3D207" "Hot_spring_sediments" "6666666.688718.txt" "st184" "M" 81 5452 2367 5052251 203749 0.657663155660715
"SYSUG3D203" "Hot_spring_sediments" "6666666.688719.txt" "st183" "M" 73 5434 2364 5053034 306101 0.657757839959374
"BSC39" "Soil" "6666666.688651.txt" "st32" "M" 80 6215 2482 5654087 188522 0.638266508504501
"AT3.9" "Plant" "6666666.688720.txt" "st24" "M" 17 5014 2403 4943822 825779 0.636691848565219
"V5/3m" "Rhizhosphere_(nodules)" "6666666.688605.txt" "st192" "M" 6 11284 2865 9631025 5843140 0.634738126263819
"Lmie10" "Rhizhosphere_(nodules)" "6666666.688610.txt" "st121" "M" 1022 13369 2884 8832405 21231 0.624813120990067
"M8" "Rhizhosphere_(nodules)" "6666666.688607.txt" "st122" "M" 1115 14166 2917 9199435 20300 0.624970382984415
"CCBAU65841" "Soil" "6666666.688616.txt" "st38" "M" 249 8658 2718 7411521 85556 0.633035455657107
"WSM3557" "Rhizhosphere_(nodules)" "6666666.688621.txt" "st205" "M" 18 7999 2740 7082538 1785913 0.638168137923987
"Marseille-Q2068" "Human_skin" "6666666.688717.txt" "st124" "M" 8 5561 2474 5347647 4703417 0.64549256734742
"DSM14364" "Geothermal_source" "6666666.688668.txt" "st51" "M" 36 5248 2441 5146151 519751 0.657697639693932
"DSM21344_(NBRC106136)" "Air" "6666666.688639.txt" "st53" "M" 184 6743 2469 5987949 101852 0.628336282444868
"NBRC106136_(DSM21344)" "Air" "6666666.688618.txt" "st157" "M" 626 8504 2658 7303516 43211 0.624306116898145
"c23x22" "Soil" "6666666.688723.txt" "st35" "M" 16 3724 2108 3752118 793830 0.627668855548478
"SyP6R" "Algae" "6666666.974091.txt" "st214" "New" 6 7862 2898 7517214 6435020 0.700005241766034
"BF19-02" "Soil" "6666666.974094.txt" "st215" "New" 57 5994 2815 5958918 277062 0.688760211882135
"WPA_B" "Anthropo/Space" "6666666.974095.txt" "st216" "New" 3 5487 2494 5319699 5247022 0.700910206821142
"37f" "Soil" "6666666.974097.txt" "st217" "New" 144 5489 2431 5295541 111355 0.682882199342563
"SLI_231" "Phyllosphere" "6666666.974098.txt" "st218" "New" 4 5717 2783 5596127 5372910 0.687398222992136
"SLI_516" "Phyllosphere" "6666666.974100.txt" "st219" "New" 4 5290 2631 5258065 5009774 0.690656395810278
"SLI_575" "Phyllosphere" "6666666.974101.txt" "st220" "New" 4 5281 2631 5257963 5009760 0.690683720969887
"SLI_576" "Phyllosphere" "6666666.974103.txt" "st221" "New" 4 5288 2631 5257905 5009587 0.690645448271848
"SLI_716" "Phyllosphere" "6666666.974104.txt" "st222" "New" 3 5609 2805 5609514 5444039 0.68878914066961
"TLI_802" "Phyllosphere" "6666666.974105.txt" "st223" "New" 5 7158 2881 6884983 5512500 0.689466248962775
"TLI_801" "Phyllosphere" "6666666.974106.txt" "st224" "New" 4 7122 2884 6857614 5511122 0.689479890685202
"GM97" "Phyllosphere" "6666666.974107.txt" "st225" "New" 1 5506 2741 5472245 5472245 0.689659686514558
"FF17" "Water" "6666666.974108.txt" "st226" "New" 7 6222 2539 5990700 5735272 0.6920018427128
"NBC_00404" "Soil" "6666666.974109.txt" "st227" "New" 1 6044 2779 5868899 5868899 0.688298814153344
"NBC_00036" "Soil" "6666666.974110.txt" "st228" "New" 1 5839 2776 5661229 5661229 0.689061489319225
"GC_Met_3" "Seed" "6666666.974111.txt" "st229" "New" 209 7181 2691 6553967 151458 0.686139700725304
"GC_Met_2" "Seed" "6666666.974112.txt" "st230" "New" 295 7458 2704 6660146 46967 0.68371380626263
"GC_Met_1" "Seed" "6666666.974113.txt" "st231" "New" 288 7165 2676 6505966 58671 0.685982590069242
