"Strain" "Strain-simp" "annotation-file" "scaffolds" "genome-size" "max-scaffold-size" "annotations" "hypothetical-protein" "repeat-region" "Mobile-element-protein" "other-annotations-unique" "other-annotations-sum" "other-annotations-mean-copy-number" "other-annotations-sd-copy-number" "GC-content"
"WL30" "st198" "6666666.673165.txt" "368" "5608924" "176097" "6555" "2796" "237" "58" "2512" "3464" "1.37898089171975" "1.57630935138998" "0.702892666136631"
"WL93" "st204" "6666666.673161.txt" "719" "5632454" "99639" "7113" "3102" "306" "74" "2526" "3631" "1.43745051464766" "1.66139833521143" "0.698838804882147"
"WL6" "st199" "6666666.673178.txt" "708" "5541357" "81818" "6919" "3005" "248" "49" "2502" "3617" "1.44564348521183" "1.64236538564704" "0.70108145406502"
"WL12" "st194" "6666666.673153.txt" "270" "5540300" "231777" "6447" "2496" "363" "106" "2511" "3482" "1.38669852648347" "1.64347262927653" "0.699056684816482"
"WL8" "st202" "6666666.673174.txt" "222" "5316010" "169577" "5885" "2176" "320" "64" "2448" "3325" "1.35825163398693" "1.50531184758411" "0.701620311495419"
"WL120" "st195" "6666666.673151.txt" "395" "5265873" "111206" "6241" "2490" "311" "48" "2469" "3392" "1.37383556095585" "1.54929138625666" "0.699826260117771"
"SB0023/3" "st180" "6666666.673232.txt" "246" "6076434" "178488" "6484" "2388" "144" "19" "2717" "3933" "1.44755244755245" "1.76550320168101" "0.704609649846125"
"SW08-7" "st182" "6666666.673234.txt" "132" "6142574" "433531" "6821" "2697" "287" "67" "2677" "3770" "1.40829286514755" "1.66233396828683" "0.70834667083862"
"CCH5-D2" "st39" "6666666.673082.txt" "1148" "6188379" "99027" "7496" "3153" "241" "16" "2648" "4086" "1.54305135951662" "2.03047169823814" "0.712170009060528"
"17Sr1-43" "st11" "6666666.673110.txt" "1" "5539094" "5539094" "5647" "2070" "77" "18" "2532" "3482" "1.37519747235387" "1.51947224109279" "0.707357902089958"
"GXF4" "st72" "6666666.673023.txt" "121" "6104137" "373483" "6375" "2458" "21" "34" "2686" "3862" "1.43782576321668" "1.85700314251382" "0.701752521529665"
"TX0642" "st186" "6666666.673122.txt" "4" "6338085" "5981441" "6635" "2577" "101" "72" "2710" "3885" "1.43357933579336" "1.75749665507394" "0.699472793361263"
"111MFTsu3.1M4" "st2" "6666666.673222.txt" "48" "5806801" "475179" "6036" "2197" "119" "35" "2623" "3685" "1.40487990850172" "1.79562328492846" "0.702479943231558"
"ARG-1" "st23" "6666666.673036.txt" "92" "6296562" "458130" "6771" "2560" "143" "61" "2719" "4007" "1.47370356748805" "1.95834752285267" "0.696728360502412"
"BL36" "st29" "6666666.673224.txt" "129" "6841105" "447228" "7719" "3119" "271" "127" "2758" "4202" "1.52356780275562" "2.24116919302554" "0.689949670637264"
"GXS13" "st73" "6666666.673070.txt" "112" "5803910" "673855" "6231" "2237" "196" "70" "2583" "3728" "1.44328300425861" "1.81305201643541" "0.6906328634668"
"WL64" "st200" "6666666.673163.txt" "348" "6888955" "269384" "8151" "3436" "409" "113" "2712" "4193" "1.54609144542773" "2.20326696243423" "0.689569541505091"
"WL2" "st197" "6666666.673180.txt" "295" "6279870" "234920" "7045" "2818" "240" "52" "2654" "3935" "1.48266767143934" "1.86953905972797" "0.695440958832269"
"CBMB27" "st37" "6666666.673218.txt" "81" "6202188" "371226" "6525" "2412" "144" "53" "2683" "3916" "1.4595601938129" "1.82618724021577" "0.69924511710963"
"UNCCL125" "st190" "6666666.673228.txt" "83" "6708970" "383167" "7193" "2870" "162" "71" "2742" "4090" "1.49161196207148" "1.91132372030026" "0.700071666592984"
"YL-MPn6-2016" "st211" "6666666.673198.txt" "6" "6858858" "6569547" "7213" "2835" "129" "74" "2768" "4175" "1.50830924855491" "1.99889822265857" "0.696368887202488"
"YL-MPn5-2016" "st210" "6666666.673200.txt" "7" "6863926" "4591585" "7243" "2863" "128" "76" "2767" "4176" "1.50921575713769" "2.01400689874973" "0.695965709856754"
"XJLW" "st206" "6666666.673120.txt" "2" "6666614" "6498071" "6867" "2589" "97" "69" "2756" "4112" "1.49201741654572" "1.89208153969976" "0.70137206635929"
"CBMB20" "st36" "6666666.673028.txt" "1" "6286580" "6286580" "6402" "2306" "94" "61" "2691" "3941" "1.46451133407655" "1.82357148169442" "0.700248865875485"
"UNC378MF" "st188" "6666666.673202.txt" "77" "6356463" "369116" "6875" "2547" "171" "44" "2773" "4113" "1.48323115759106" "1.9173460351435" "0.69637259396194"
"BL47" "st30" "6666666.673204.txt" "47" "6014633" "541370" "6300" "2404" "105" "30" "2615" "3761" "1.43824091778203" "1.83935718498302" "0.691951597362604"
"2A" "st15" "6666666.673189.txt" "67" "6391125" "658340" "6755" "2574" "191" "38" "2735" "3952" "1.44497257769653" "1.79402694780353" "0.699598390438875"
"DSM760" "st59" "6666666.673104.txt" "85" "6746608" "657720" "7049" "2641" "85" "31" "2840" "4292" "1.5112676056338" "2.06461656896136" "0.715940528270321"
"ES_PA-B5" "st68" "6666666.673126.txt" "9" "7696614" "6667970" "8224" "3256" "168" "90" "2960" "4710" "1.59121621621622" "2.32718855350745" "0.708006212871496"
"NBRC15690" "st161" "6666666.673140.txt" "169" "6774763" "285565" "7247" "2749" "36" "18" "2948" "4444" "1.50746268656716" "2.09373455929423" "0.713287594452688"
"JCM2831" "st91" "6666666.673021.txt" "9" "6898100" "6077536" "7366" "2712" "152" "36" "2951" "4466" "1.51338529312098" "2.0739891375524" "0.711481554260801"
"RE1.2" "st179" "6666666.673092.txt" "224" "6286380" "402548" "6746" "2372" "131" "31" "2826" "4212" "1.49044585987261" "2.01676530970089" "0.714682347509491"
"C1" "st34" "6666666.673088.txt" "1" "6459144" "6459144" "6718" "2496" "74" "18" "2803" "4130" "1.47342133428469" "1.94708459832883" "0.713514608955233"
"Leaf361" "st106" "6666666.673057.txt" "98" "6842967" "619609" "7668" "2907" "326" "70" "2846" "4365" "1.53373155305692" "2.35080375671883" "0.711660876803543"
"275MFSha3.1" "st13" "6666666.673208.txt" "69" "6538544" "617741" "6982" "2498" "182" "73" "2842" "4229" "1.48803659394792" "2.17422205632883" "0.712492179467604"
"13MFTsu3.1M2" "st3" "6666666.673214.txt" "69" "6352451" "438130" "6720" "2355" "150" "63" "2813" "4152" "1.47600426590828" "2.15042672399866" "0.714681965029564"
"BK227" "st28" "6666666.673128.txt" "43" "6634632" "779121" "7057" "2645" "112" "40" "2863" "4260" "1.48794970310863" "2.1674594795872" "0.712596977259173"
"UNC300MFChir4.1" "st187" "6666666.673210.txt" "80" "6431987" "707999" "6877" "2420" "179" "71" "2823" "4207" "1.49025859015232" "2.10829098963185" "0.713212610338377"
"yr668" "st213" "6666666.673226.txt" "99" "6619760" "538065" "7233" "2689" "213" "68" "2842" "4263" "1.5" "2.18378556515501" "0.712905591330886"
"190mf" "st12" "6666666.673206.txt" "84" "6637584" "516119" "7211" "2673" "202" "84" "2838" "4252" "1.49823819591261" "2.16189084125677" "0.711003382848832"
"NBRC107714" "st158" "6666666.673141.txt" "103" "4626599" "283472" "4796" "1936" "18" "50" "2238" "2792" "1.24754244861483" "1.11575491151072" "0.681127044750306"
"WL9" "st203" "6666666.673172.txt" "221" "4671028" "238051" "5187" "2048" "168" "37" "2290" "2934" "1.28122270742358" "1.11522537798222" "0.680092633664177"
"NBRC107716" "st160" "6666666.673145.txt" "118" "4763935" "409464" "5126" "2075" "31" "26" "2309" "2994" "1.29666522304028" "1.42607925657076" "0.665930831671"
"Leaf466" "st110" "6666666.673066.txt" "36" "4299353" "490818" "4477" "1504" "141" "28" "2262" "2804" "1.23961096374889" "1.0528138530302" "0.701246709172158"
"Leaf108" "st99" "6666666.673051.txt" "35" "4465099" "778547" "4577" "1605" "138" "15" "2268" "2819" "1.24294532627866" "1.06206537081469" "0.70054892818987"
"Leaf399" "st107" "6666666.673059.txt" "35" "4454596" "961350" "4566" "1603" "147" "17" "2268" "2799" "1.23412698412698" "1.00037015015975" "0.700743955284332"
"Leaf106" "st98" "6666666.673048.txt" "36" "4758505" "821756" "4884" "1695" "110" "24" "2379" "3055" "1.28415300546448" "1.19289890953547" "0.678878977524531"
"88A" "st19" "6666666.673027.txt" "4" "4889294" "4842330" "4951" "1714" "83" "52" "2386" "3102" "1.30008382229673" "1.2929643484598" "0.676915806164036"
"Leaf85" "st112" "6666666.673037.txt" "35" "5141287" "548297" "5363" "2029" "125" "50" "2420" "3159" "1.30537190082645" "1.26995525261718" "0.676205626084923"
"WL19" "st196" "6666666.673168.txt" "316" "5165891" "143972" "5702" "2184" "158" "36" "2442" "3324" "1.36117936117936" "1.3666957799572" "0.676293705156805"
"Leaf93" "st118" "6666666.673040.txt" "31" "4744593" "842926" "4822" "1684" "95" "31" "2368" "3012" "1.27195945945946" "1.14641265721022" "0.676257975077313"
"Leaf91" "st117" "6666666.673045.txt" "52" "5256950" "611322" "5530" "2022" "170" "51" "2444" "3287" "1.3449263502455" "1.50265518673114" "0.666290426600136"
"Leaf86" "st113" "6666666.673038.txt" "44" "5297922" "836557" "5546" "2035" "105" "44" "2457" "3362" "1.36833536833537" "1.59136212878828" "0.664835371067338"
"Leaf102" "st96" "6666666.673042.txt" "41" "4658421" "813737" "4776" "1651" "96" "34" "2352" "2995" "1.2733843537415" "1.09816246903553" "0.693938396462555"
"Leaf469" "st111" "6666666.673063.txt" "46" "4698659" "821523" "4862" "1723" "110" "38" "2362" "2991" "1.26629974597798" "1.09511592546519" "0.693515539165128"
"Leaf112" "st101" "6666666.673053.txt" "34" "4692710" "559365" "4783" "1659" "77" "28" "2376" "3019" "1.2706228956229" "1.11127986490958" "0.694853905723857"
"Leaf87" "st114" "6666666.673043.txt" "61" "4979245" "469342" "5181" "1907" "128" "49" "2386" "3097" "1.29798826487846" "1.23150984417433" "0.691415747020936"
"Leaf100" "st95" "6666666.673046.txt" "63" "4710679" "621690" "4878" "1748" "116" "24" "2366" "2990" "1.26373626373626" "1.09069261921514" "0.692407928602403"
"Gh-105" "st69" "6666666.673220.txt" "77" "4521619" "353830" "4642" "1566" "152" "66" "2266" "2858" "1.261253309797" "1.1434308083614" "0.691128327322728"
"Leaf99" "st120" "6666666.673041.txt" "14" "4645408" "2211552" "4882" "1728" "160" "4" "2328" "2990" "1.28436426116838" "1.15638970712793" "0.700514414448146"
"WL69" "st201" "6666666.673155.txt" "225" "4689064" "181685" "5087" "1810" "227" "18" "2326" "3032" "1.30352536543422" "1.1411578899933" "0.699496584989407"
"BTF04" "st33" "6666666.673191.txt" "257" "5158348" "317637" "5446" "2129" "63" "108" "2392" "3146" "1.31521739130435" "1.31972236522307" "0.672283264295404"
"Leaf113" "st102" "6666666.673054.txt" "54" "5150244" "616344" "5330" "1949" "145" "57" "2399" "3179" "1.3251354731138" "1.41338683895639" "0.684345169718439"
"Leaf117" "st103" "6666666.673049.txt" "40" "5318295" "963506" "5567" "2133" "139" "65" "2413" "3230" "1.33858267716535" "1.4495922044443" "0.682427780956359"
"GV104" "st71" "6666666.673100.txt" "63" "5112454" "399759" "5239" "1896" "51" "33" "2458" "3259" "1.32587469487388" "1.40612856650656" "0.698116621275666"
"GV094" "st70" "6666666.673118.txt" "59" "5109752" "423659" "5224" "1884" "51" "32" "2458" "3257" "1.32506102522376" "1.40457943985658" "0.698220201323675"
"Leaf104" "st97" "6666666.673047.txt" "41" "4966411" "827873" "5130" "1809" "112" "34" "2424" "3175" "1.30981848184818" "1.36707439973721" "0.704080779874705"
"Leaf125" "st105" "6666666.673050.txt" "49" "5450419" "1296361" "5811" "2218" "169" "20" "2483" "3404" "1.37092227144583" "1.61696542664782" "0.693107865989895"
"V23" "st191" "6666666.673098.txt" "137" "5919607" "686429" "6373" "2700" "79" "64" "2492" "3530" "1.41653290529695" "1.81319916890969" "0.687024227642782"
"Leaf111" "st100" "6666666.673052.txt" "74" "5162270" "1007079" "5511" "1999" "179" "88" "2418" "3245" "1.34201819685691" "1.49279762394256" "0.695655381130612"
"Leaf94" "st119" "6666666.673068.txt" "64" "5246047" "511485" "5622" "2112" "168" "56" "2457" "3286" "1.33740333740334" "1.42586801857308" "0.696788141979221"
"Leaf88" "st115" "6666666.673044.txt" "55" "5021393" "825408" "5174" "1924" "50" "29" "2415" "3171" "1.31304347826087" "1.37671172815888" "0.698001157172292"
"Leaf89" "st116" "6666666.673039.txt" "32" "5002251" "1039249" "5051" "1760" "44" "24" "2438" "3223" "1.3219852337982" "1.34647087940296" "0.699025403470098"
"Leaf465" "st109" "6666666.673061.txt" "48" "5054143" "610658" "5251" "1857" "143" "36" "2436" "3215" "1.31978653530378" "1.35001502600176" "0.698823545335803"
"PA1" "st170" "6666666.688660.txt" "1" "5470387" "5470387" "5459" "1470" "76" "19" "2820" "3894" "1.38085106382979" "1.64873520030109" "0.687970656592576"
"BJ001" "st27" "6666666.688641.txt" "3" "5848795" "5800354" "5887" "1782" "93" "55" "2877" "3957" "1.37539103232534" "1.56551165225334" "0.697484098915678"
"CM4" "st44" "6666666.688637.txt" "3" "6180621" "5777804" "6335" "1960" "118" "96" "2939" "4161" "1.41578768288534" "1.72001268967984" "0.686453654087125"
"AM1" "st20" "6666666.688625.txt" "5" "6879675" "5511221" "7173" "2519" "182" "147" "2984" "4325" "1.44939678284182" "1.85696710347877" "0.689411250935653"
"DM4" "st49" "6666666.688638.txt" "3" "6123747" "5943667" "6395" "1865" "144" "86" "2968" "4300" "1.44878706199461" "1.88032722677508" "0.685789208077601"
"WSM3557" "st205" "6666666.688621.txt" "18" "7082538" "2401580" "7999" "3071" "395" "210" "2737" "4323" "1.57946656923639" "2.11950752351772" "0.637552662602204"
"MB200" "st149" "6666666.688645.txt" "30" "5763690" "2506739" "5877" "1835" "88" "42" "2773" "3912" "1.4107464839524" "1.56360571321515" "0.693153215875806"
"77" "st18" "6666666.688673.txt" "1" "4664957" "4664957" "4649" "1485" "36" "25" "2437" "3103" "1.2732868280673" "1.15327600998911" "0.672472694144769"
"285MFTsu5.1" "st14" "6666666.688630.txt" "95" "6624902" "874710" "7124" "2577" "180" "76" "2884" "4291" "1.4878640776699" "2.14692507671367" "0.712773131649841"
"ATCCBAA-817" "st25" "6666666.688676.txt" "30" "4028727" "595165" "4128" "1281" "79" "7" "2170" "2761" "1.27235023041475" "1.09822796490419" "0.650111488500058"
"10" "st1" "6666666.688669.txt" "4" "4982369" "4978414" "5016" "1598" "51" "43" "2508" "3324" "1.32535885167464" "1.33477127277734" "0.671539897609652"
"BSC39" "st32" "6666666.688651.txt" "80" "5654087" "457097" "6215" "2348" "216" "96" "2479" "3555" "1.43404598628479" "1.69733286940279" "0.638266508504501"
"UNCCL110" "st189" "6666666.688634.txt" "138" "6609839" "316761" "7162" "2764" "167" "70" "2777" "4161" "1.49837954627296" "1.91500245558174" "0.70007015291264"
"BR3299" "st31" "6666666.688636.txt" "165" "6456591" "389455" "7336" "3012" "132" "115" "2706" "4077" "1.50665188470067" "1.85842541286568" "0.617775428132838"
"CD11_7" "st40" "6666666.688622.txt" "124" "7004895" "648695" "7301" "2835" "67" "92" "3003" "4307" "1.43423243423243" "1.65773587856799" "0.695529212772643"
"PSBB040" "st174" "6666666.688653.txt" "1" "5654311" "5654311" "5778" "1671" "117" "32" "2801" "3958" "1.41306676187076" "1.79812221066029" "0.688006624204935"
"PSBB041" "st175" "6666666.688657.txt" "1" "5610348" "5610348" "5719" "1696" "95" "32" "2796" "3896" "1.3934191702432" "1.72752513193832" "0.688295805738626"
"P-1M" "st168" "6666666.688640.txt" "6" "5942862" "5705293" "6087" "2048" "119" "65" "2776" "3855" "1.38868876080692" "1.6091634922832" "0.694122021768369"
"V5/3m" "st192" "6666666.688605.txt" "6" "9631025" "5843140" "11284" "4734" "828" "426" "2862" "5296" "1.85045422781272" "3.60753776135218" "0.634738126263819"
"KLBC81" "st93" "6666666.688624.txt" "354" "6831655" "314732" "8036" "3245" "266" "231" "2727" "4294" "1.57462412907957" "2.04413553650712" "0.619719758590732"
"17mud1-3" "st6" "6666666.688674.txt" "1" "4403076" "4403076" "4425" "1291" "64" "14" "2258" "3056" "1.35341009743136" "1.42637643373919" "0.645933055208709"
"DSM21344" "st53" "6666666.688639.txt" "184" "5987949" "274746" "6743" "2791" "144" "116" "2466" "3692" "1.49716139497161" "1.86158781163607" "0.628336282444868"
"CCBAU65841" "st38" "6666666.688616.txt" "249" "7411521" "544662" "8658" "3436" "590" "251" "2715" "4381" "1.61362799263352" "2.34918695575404" "0.633031622211171"
"DSM14364" "st51" "6666666.688668.txt" "36" "5146151" "1000881" "5248" "1754" "51" "31" "2438" "3412" "1.39950779327317" "1.48896631426062" "0.657614241854446"
"MIMD6" "st151" "6666666.688612.txt" "456" "7474923" "133244" "8040" "3058" "111" "47" "3015" "4824" "1.6" "2.62949933545203" "0.729196752106427"
"DSM25903" "st56" "6666666.688667.txt" "20" "5164689" "2348343" "5257" "1874" "47" "7" "2331" "3329" "1.42814242814243" "2.02035923554444" "0.687540375123732"
"Q1" "st176" "6666666.688658.txt" "116" "5508879" "439213" "5572" "1755" "70" "72" "2743" "3675" "1.33977397010572" "1.43892569992283" "0.690627142680754"
"YC-XJ1" "st207" "6666666.688661.txt" "1" "5395050" "5395050" "5425" "1584" "52" "44" "2786" "3745" "1.34422110552764" "1.52382538096374" "0.697747752348858"
"NBRC15911" "st162" "6666666.688647.txt" "97" "5720391" "585878" "5918" "1885" "40" "36" "2858" "3957" "1.38453463960812" "1.64364650383415" "0.689535601115048"
"NBRC106136" "st157" "6666666.688618.txt" "626" "7303516" "245446" "8504" "3906" "78" "169" "2655" "4351" "1.63879472693032" "2.31900214871821" "0.624306116898145"
"P1-11" "st169" "6666666.688628.txt" "129" "6780693" "444726" "7409" "2732" "138" "48" "2915" "4491" "1.54065180102916" "2.28779795413008" "0.693656831468667"
"PinkelPinkel_01" "st171" "6666666.688655.txt" "35" "5630787" "1232378" "5885" "1839" "150" "95" "2805" "3801" "1.35508021390374" "1.55249788454259" "0.697813544075558"
"Lmie10" "st121" "6666666.688610.txt" "1022" "8832405" "281640" "13369" "5660" "2264" "432" "2881" "5013" "1.74002082610205" "2.5959554277567" "0.624813120990067"
"M8" "st122" "6666666.688607.txt" "1115" "9199435" "287723" "14166" "6027" "2483" "458" "2914" "5198" "1.78380233356211" "2.71900631763762" "0.624970382984415"
"HR1" "st74" "6666666.688677.txt" "1" "3822362" "3822362" "3936" "1103" "90" "11" "2118" "2732" "1.28989612842304" "1.30765772224216" "0.68138595951885"
"CGMCC1.7666" "st42" "6666666.688671.txt" "34" "4721020" "722408" "4902" "1576" "104" "42" "2360" "3180" "1.34745762711864" "1.26736931776261" "0.621488199305883"
"CGMCC1.6474" "st41" "6666666.688663.txt" "64" "5322326" "603207" "5598" "1786" "179" "87" "2648" "3546" "1.33912386706949" "1.42372720580309" "0.700620229461037"
"DB1703" "st47" "6666666.688721.txt" "10" "4652148" "1058356" "5000" "1679" "63" "21" "2311" "3237" "1.40069234097793" "2.01025066734591" "0.689031932609702"
"DSM11490" "st50" "6666666.688712.txt" "30" "5625533" "808660" "5686" "1690" "65" "55" "2818" "3876" "1.37544357700497" "1.58744415575778" "0.69809033669081"
"DSM2163" "st54" "6666666.688716.txt" "58" "5399748" "521500" "5557" "1932" "114" "43" "2648" "3468" "1.30966767371601" "1.30415518375471" "0.703597789380845"
"DSM24105" "st55" "6666666.688715.txt" "29" "5404719" "823659" "5522" "1989" "34" "30" "2610" "3469" "1.32911877394636" "1.57674346647041" "0.672557188036323"
"DSM5686" "st57" "6666666.688707.txt" "25" "5970000" "1023079" "6117" "2164" "79" "16" "2711" "3858" "1.42309111029141" "1.69345543995707" "0.703162493474454"
"DSM5687" "st58" "6666666.688708.txt" "52" "5870535" "561662" "5995" "1976" "70" "38" "2811" "3911" "1.39131981501245" "1.56331933148718" "0.69549790589062"
"ME94" "st150" "6666666.688706.txt" "165" "6412396" "442328" "6896" "2297" "288" "20" "2855" "4291" "1.50297723292469" "2.11360301196641" "0.716311499599415"
"R2-1" "st177" "6666666.688710.txt" "52" "5824927" "522588" "6052" "2115" "85" "37" "2754" "3815" "1.38525780682643" "1.70342291957089" "0.682919980573427"
"RAS18" "st178" "6666666.688709.txt" "37" "5852653" "774927" "6039" "1988" "86" "51" "2847" "3914" "1.37478047067088" "1.64026860896477" "0.68832562852196"
"AT3.9" "st24" "6666666.688720.txt" "17" "4943822" "1439972" "5014" "1714" "63" "6" "2400" "3231" "1.34625" "1.31671940822637" "0.636663945273337"
"c23x22" "st35" "6666666.688723.txt" "16" "3752118" "907806" "3724" "1062" "40" "2" "2105" "2620" "1.24465558194774" "1.12037014679325" "0.627668855548478"
"DSM15743" "st52" "6666666.688722.txt" "32" "4014541" "593663" "4073" "1275" "35" "3" "2170" "2760" "1.27188940092166" "1.09939109964344" "0.649984598858648"
"KCTC23863" "st92" "6666666.688713.txt" "94" "5580282" "570899" "6144" "2144" "219" "31" "2526" "3750" "1.48456057007126" "1.83291121165079" "0.636787222641882"
"Marseille-Q2068" "st124" "6666666.688717.txt" "8" "5347647" "4703417" "5561" "1927" "111" "64" "2471" "3459" "1.39983812221773" "1.37044570533635" "0.64549256734742"
"SYSUG3D203" "st183" "6666666.688719.txt" "73" "5053034" "718604" "5434" "1932" "215" "56" "2361" "3231" "1.36848792884371" "1.30342045161528" "0.657757839959374"
"SYSUG3D207" "st184" "6666666.688718.txt" "81" "5052251" "508083" "5452" "1950" "216" "55" "2364" "3231" "1.36675126903553" "1.30025334452305" "0.657663155660715"
"E-005" "st60" "6666666.688734.txt" "257" "6719858" "458685" "7930" "3122" "519" "41" "2784" "4248" "1.52586206896552" "2.28715876060311" "0.689022251488435"
"E-016" "st61" "6666666.688743.txt" "206" "5832649" "245344" "7011" "2795" "420" "87" "2628" "3709" "1.41133942161339" "1.72294377265009" "0.700953473996762"
"E-025" "st62" "6666666.688747.txt" "204" "5583370" "460547" "6626" "2509" "397" "49" "2604" "3671" "1.40975422427035" "1.66450275947672" "0.701794598005193"
