"Order.ASTRAL" "Species" "Strains" "Group" "Order.SVDq" "Air" "Human" "Endoph." "Fung./Lich." "Ocean" "Phyllo." "Plant" "Rhizho." "Sed./Water" "Seed" "Soil" "Unknown"
33 "Meth_radiodurans" "st11" "A" 33 0 0.5 0 0 0 0 0 0 0 0 0.5 0
34 "Meth_gregans" "st133" "A" 34 0 0.5 0 0 0 0 0 0 0.5 0 0 0
35 "Meth_hispanicum" "st39_st134" "A" 35 0 0.5 0 0 0 0 0 0 0.5 0 0 0
36 "Meth_aerolatum" "st126" "A" 36 1 0 0 0 0 0 0 0 0 0 0 0
37 "Meth_sp_034" "st85" "A" 37 0 0 0 0 0 1 0 0 0 0 0 0
38 "Meth_persicinum" "st143" "A" 38 0 0.5 0 0 0 0 0 0 0.5 0 0 0
39 "Meth_komagatae" "st138" "A" 40 0 0.5 0 0 0 0 0 0 0.5 0 0 0
40 "Meth_sp_033" "st81" "A" 39 0 0 0 0 0 1 0 0 0 0 0 0
41 "Meth_mesophilicum" "st141" "A" 41 0 0 0 0 0 1 0 0 0 0 0 0
42 "Meth_sp_032" "st197_st200" "A" 42 0 0 0 0 0 1 0 0 0 0 0 0
43 "Meth_brachiatum" "st2_st23_st72_st186" "A" 43 0 0.25 0.25 0.25 0 0 0.25 0 0 0 0 0
44 "Meth_sp_024" "st79" "A" 47 0 0 0 0 0 1 0 0 0 0 0 0
45 "Meth_sp_026" "st86" "A" 46 0 0 0 0 0 1 0 0 0 0 0 0
46 "Meth_sp_030" "st73_st75" "A" 44 0 0 0.5 0 0 0.5 0 0 0 0 0 0
47 "Meth_sp_029" "st67_st84" "A" 45 0 0 0 0 0 1 0 0 0 0 0 0
48 "Meth_pseudosasicola" "st29" "A" 48 0 0 0 0 0 1 0 0 0 0 0 0
49 "Meth_sp_022" "st76" "A" 55 0 0 0 0 0 1 0 0 0 0 0 0
50 "Meth_sp_027" "st88" "A" 53 0 0 0 0 0 1 0 0 0 0 0 0
51 "Meth_sp_021" "st66" "A" 54 0 0 0 0 0 1 0 0 0 0 0 0
52 "Meth_sp_023" "st77" "A" 51 0 0 0 0 0 1 0 0 0 0 0 0
53 "Meth_sp_019" "st15" "A" 50 0 0 0 0 0 0 0 1 0 0 0 0
54 "Meth_phyllostachyos" "st30" "A" 52 0 0 0 0 0 1 0 0 0 0 0 0
55 "Meth_sp_020" "st60" "A" 49 0 0 0 0 0 1 0 0 0 0 0 0
56 "Meth_longum" "st65_st139" "A" 57 0 0 0 0 0 1 0 0 0 0 0 0
57 "Meth_sp_025" "st83" "A" 56 0 0 0 0 0 1 0 0 0 0 0 0
58 "Meth_tardum" "st144" "A" 58 0 0.5 0 0 0 0 0 0 0.5 0 0 0
59 "Meth_sp_031" "st169_st188" "A" 60 0 0 0 0 0 0 0.5 0.5 0 0 0 0
60 "Meth_fujisawaense" "st36_st37_st57_st189_st190_st206_st210_st211" "A" 59 0 0.0625 0 0 0 0.25 0.25 0 0.3125 0 0 0.125
61 "Meth_radiotolerans" "st34_st59_st68_st91_st150_st161_st179" "A" 62 0 0.0714285714285714 0.142857142857143 0 0 0 0 0.142857142857143 0.214285714285714 0.142857142857143 0 0.285714285714286
62 "Meth_sp_028" "st3_st12_st13_st14_st28_st106_st187_st213" "A" 61 0 0 0.125 0 0 0.125 0.625 0.125 0 0 0 0
63 "Meth_iners" "st135" "D" 64 1 0 0 0 0 0 0 0 0 0 0 0
64 "Meth_sp_017" "st99_st107_st110" "D" 63 0 0 0 0 0 1 0 0 0 0 0 0
65 "Meth_marchantiae" "st140" "D" 66 0 0 0 0 0 1 0 0 0 0 0 0
66 "Meth_sp_013" "st18" "D" 65 0 0 0 0 0 0 0 0 1 0 0 0
67 "Meth_sp_016" "st113_st117" "D" 67 0 0 0 0 0 1 0 0 0 0 0 0
68 "Meth_sp_012" "st1" "D" 68 0 0 0 0 0 0 0 0 1 0 0 0
69 "Meth_sp_014" "st64" "D" 69 0 0 0 0 0 1 0 0 0 0 0 0
70 "Meth_bullatum" "st19_st98_st112_st129_st196" "D" 71 0 0 0 0 0 0.8 0 0 0.2 0 0 0
71 "Meth_sp_015" "st118" "D" 70 0 0 0 0 0 1 0 0 0 0 0 0
72 "Meth_sp_001" "st33" "D" 77 0 0 0 0 0 0 0 0 1 0 0 0
73 "Meth_adhaesivum" "st125" "D" 75 0 0.5 0 0 0 0 0 0 0.5 0 0 0
74 "Meth_gossipiicola" "st69" "D" 76 0 0 0 0 0 1 0 0 0 0 0 0
75 "Meth_sp_007" "st95_st96_st101_st111_st114" "D" 74 0 0 0 0 0 1 0 0 0 0 0 0
76 "Meth_sp_011" "st120_st201" "D" 73 0 0 0 0 0 1 0 0 0 0 0 0
77 "Meth_sp_004" "st89" "D" 72 0 0 0 0 0 1 0 0 0 0 0 0
78 "Meth_sp_002" "st82" "D" 80 0 0 0 0 0 1 0 0 0 0 0 0
79 "Meth_goesingense" "st132" "D" 78 0 0 1 0 0 0 0 0 0 0 0 0
80 "Meth_sp_003" "st87" "D" 79 0 0 0 0 0 1 0 0 0 0 0 0
81 "Meth_sp_009" "st102_st103" "D" 81 0 0 0 0 0 1 0 0 0 0 0 0
82 "Meth_sp_005" "st97" "D" 82 0 0 0 0 0 1 0 0 0 0 0 0
83 "Meth_sp_006" "st70_st71" "D" 83 0 0 0 0 0 0 0 1 0 0 0 0
84 "Meth_sp_008" "st100_st109_st115_st116_st119" "D" 84 0 0 0 0 0 1 0 0 0 0 0 0
85 "Meth_sp_010" "st105_st191" "D" 85 0 0 0 0 0 0.5 0 0 0.5 0 0 0
86 "Meth_isbiliense" "st136" "C" 88 0 0.5 0 0 0 0 0 0 0.5 0 0 0
87 "Meth_nodulans" "st167" "C" 86 0 0 0 0 0 0 0 1 0 0 0 0
88 "Meth_sp_044" "st16" "C" 87 0 0 0 0 0 0 0 1 0 0 0 0
89 "Meth_oryzihabitans" "st185" "C" 89 0 0.5 0 0 0 0 0 0 0.5 0 0 0
90 "Meth_crusticola" "st151" "C" 90 0 0 0 0 0 0 0 0 0 0 1 0
91 "Meth_variabile" "st148" "C" 91 0 0.5 0 0 0 0 0 0 0.5 0 0 0
92 "Meth_nonmethylotrophicum" "st17" "C" 94 0 0.5 0 0 0 0 0 0 0 0 0.5 0
93 "Meth_aquaticum" "st128" "C" 99 0 0.5 0 0 0 0 0 0 0.5 0 0 0
94 "Meth_tarhaniae" "st145" "C" 100 0 0 0 0 0 0 0 0 0 0 1 0
95 "Meth_frigidaeris" "st131" "C" 102 0 1 0 0 0 0 0 0 0 0 0 0
96 "Meth_currus" "st173" "C" 101 0 1 0 0 0 0 0 0 0 0 0 0
97 "Meth_sp_043" "st8" "C" 104 0 0 0 0 0 0 0 0 0 0 1 0
98 "Meth_sp_042" "st4" "C" 103 0 0 0 0 0 0 1 0 0 0 0 0
99 "Meth_terricola" "st10" "C" 98 0 0 0 0 0 0 0 0 0 0 1 0
100 "Meth_sp_045" "st45" "C" 97 0 1 0 0 0 0 0 0 0 0 0 0
101 "Meth_platani" "st172" "C" 95 0 0 0 0 0 1 0 0 0 0 0 0
102 "Meth_terrae" "st9" "C" 96 0 0.5 0 0 0 0 0 0 0 0 0.5 0
103 "Meth_ajmalii" "st22_st123_st127_st212" "C" 92 0 0.25 0 0 0 0.25 0 0.5 0 0 0 0
104 "Meth_indicum" "st164_st165_st166_st181" "C" 93 0 0 0 0 0 0 0 0 0 1 0 0
105 "Micr_sp_001" "st6" "Microvirga" 107 0 0 0 0 0 0 0 0 0 0 0 0
106 "Micr_sp_005" "st74" "Microvirga" 108 0 0 0 0 0 0 0 0 0 0 0 0
107 "Micr_sp_003" "st35" "Microvirga" 109 0 0 0 0 0 0 0 0 0 0 0 0
108 "Micr_aerophila" "st53_st157" "Microvirga" 110 0 0 0 0 0 0 0 0 0 0 0 0
109 "Micr_subterranea" "st51" "Microvirga" 111 0 0 0 0 0 0 0 0 0 0 0 0
110 "Micr_makkahensis" "st92" "Microvirga" 113 0 0 0 0 0 0 0 0 0 0 0 0
111 "Micr_guangxiensis" "st42" "Microvirga" 112 0 0 0 0 0 0 0 0 0 0 0 0
112 "Micr_sp_006" "st93" "Microvirga" 114 0 0 0 0 0 0 0 0 0 0 0 0
113 "Micr_vignae" "st31" "Microvirga" 115 0 0 0 0 0 0 0 0 0 0 0 0
114 "Micr_flocculans" "st25_st52" "Microvirga" 116 0 0 0 0 0 0 0 0 0 0 0 0
115 "Micr_sp_008" "st183_st184" "Microvirga" 119 0 0 0 0 0 0 0 0 0 0 0 0
116 "Micr_lupini" "st24" "Microvirga" 117 0 0 0 0 0 0 0 0 0 0 0 0
117 "Micr_sp_002" "st32" "Microvirga" 118 0 0 0 0 0 0 0 0 0 0 0 0
118 "Micr_tunisiensis" "st121_st122" "Microvirga" 121 0 0 0 0 0 0 0 0 0 0 0 0
119 "Micr_sp_004" "st38" "Microvirga" 122 0 0 0 0 0 0 0 0 0 0 0 0
120 "Micr_sp_007" "st124" "Microvirga" 124 0 0 0 0 0 0 0 0 0 0 0 0
121 "Micr_lotononidis" "st205" "Microvirga" 123 0 0 0 0 0 0 0 0 0 0 0 0
122 "Micr_ossetica" "st192" "Microvirga" 120 0 0 0 0 0 0 0 0 0 0 0 0
123 "Ente_rhinocerotis" "st56" "Enterovirga" 105 0 0 0 0 0 0 0 0 0 0 0 0
124 "Ente_sp_001" "st47" "Enterovirga" 106 0 0 0 0 0 0 0 0 0 0 0 0
